,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,161,5,23,28,47,2,16,0,21,35,18,24,5,2,9,5,7,16,24,8,2,10,7,10,2,5,0,5,10,0,7,1,0,28,0,0,1,3,2,0,20,72,1,4
palitravideo,5,21,1,6,1,0,0,1,11,3,0,4,0,2,5,10,5,5,2,5,1,0,2,4,1,1,1,1,2,0,0,2,0,0,4,1,2,1,1,0,5,1,0,0
mpn,23,1,22,2,11,0,2,0,2,10,2,5,0,0,1,1,2,4,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,0,8,14,0,3
ghn,28,6,2,66,14,2,13,4,20,27,0,15,2,5,16,9,19,15,16,5,1,3,5,12,2,4,1,5,9,0,4,2,0,8,0,1,2,9,7,0,21,17,1,1
rustavi2,47,1,11,14,64,0,7,0,6,16,5,14,3,2,4,2,6,8,10,4,0,6,0,2,1,2,0,0,2,0,5,0,0,15,0,0,0,3,1,0,12,32,0,5
bpn,2,0,0,2,0,9,1,0,2,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0
ipn,16,0,2,13,7,1,41,0,9,10,0,6,1,1,4,0,8,3,7,5,0,0,1,3,1,1,0,3,1,0,3,0,0,3,0,0,1,7,1,0,7,8,2,0
publika,0,1,0,4,0,0,0,12,1,0,0,0,2,1,1,0,4,5,5,1,0,0,0,4,0,0,1,0,2,0,0,1,0,0,0,1,1,4,1,0,1,0,0,0
palitranews,21,11,2,20,6,2,9,1,56,16,2,13,4,8,19,11,14,20,8,0,0,0,14,13,2,2,0,10,7,0,3,5,0,2,0,2,3,8,6,0,13,8,2,1
1tv,35,3,10,27,16,1,10,0,16,70,3,29,1,7,11,5,9,11,5,2,0,7,5,7,1,3,0,6,4,0,2,2,0,8,0,0,0,4,3,0,13,16,0,2
postv,18,0,2,0,5,0,0,0,2,3,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,3,6,0,0
tiflisnews,24,4,5,15,14,0,6,0,13,29,0,50,1,6,8,10,6,8,5,2,2,3,4,5,0,0,0,5,4,0,0,2,0,3,0,0,0,2,4,0,8,11,0,0
sova,5,0,0,2,3,0,1,2,4,1,0,1,17,1,1,1,3,3,3,1,0,0,4,3,2,0,0,0,9,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
netgazeti,2,2,0,5,2,0,1,1,8,7,0,6,1,12,7,4,6,5,6,1,0,2,4,5,0,0,0,2,4,0,0,2,0,0,0,0,0,5,2,0,4,1,0,0
mtavari,9,5,1,16,4,0,4,1,19,11,0,8,1,7,41,13,15,10,5,8,1,1,7,14,0,3,0,4,7,0,5,6,0,0,0,0,1,6,6,0,8,0,3,0
metronome-mix,5,10,1,9,2,0,0,0,11,5,0,10,1,4,13,49,13,7,4,4,2,0,6,7,0,0,0,2,3,0,1,3,1,0,3,0,0,3,3,0,6,2,0,0
tvpirveli,7,5,2,19,6,0,8,4,14,9,0,6,3,6,15,13,49,12,16,17,1,3,6,12,0,3,0,3,5,0,2,4,0,8,0,2,1,13,9,2,13,6,0,0
on,16,5,4,15,8,1,3,5,20,11,1,8,3,5,10,7,12,38,7,2,0,2,6,9,0,2,0,4,5,0,1,4,0,4,0,1,2,7,2,0,9,10,1,0
bm,24,2,3,16,10,2,7,5,8,5,0,5,3,6,5,4,16,7,62,9,3,6,3,5,0,1,1,0,8,0,8,4,0,13,0,0,1,14,5,3,8,11,0,1
alia,8,5,0,5,4,1,5,1,0,2,0,2,1,1,8,4,17,2,9,33,2,3,0,7,0,0,1,1,1,0,3,1,0,3,2,0,2,5,3,3,5,0,0,0
primetime,2,1,0,1,0,0,0,0,0,0,0,2,0,0,1,2,1,0,3,2,7,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gttv,10,0,1,3,6,0,0,0,0,7,0,3,0,2,1,0,3,2,6,3,2,20,0,1,0,2,0,1,1,0,1,1,0,6,0,0,0,4,3,3,5,8,0,2
euronewsgeorgia,7,2,0,5,0,0,1,0,14,5,0,4,4,4,7,6,6,6,3,0,0,0,14,5,0,2,0,5,5,0,0,2,0,0,0,0,0,4,2,0,4,2,0,0
formula,10,4,0,12,2,0,3,4,13,7,0,5,3,5,14,7,12,9,5,7,1,1,5,23,0,1,0,2,8,0,1,2,0,0,0,1,0,8,3,0,7,2,3,0
ambebi,2,1,0,2,1,1,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
metronome,5,1,1,4,2,0,1,0,2,3,0,0,0,0,3,0,3,2,1,0,0,2,2,1,0,9,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,1
jamnews,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kvirispalitra,5,1,0,5,0,0,3,0,10,6,0,5,0,2,4,2,3,4,0,1,0,1,5,2,0,1,0,15,1,0,1,1,0,0,0,0,3,3,1,0,2,0,1,0
radiotavisupleba,10,2,0,9,2,0,1,2,7,4,0,4,9,4,7,3,5,5,8,1,1,1,5,8,2,0,0,1,21,0,0,1,0,0,0,0,0,3,1,0,5,4,1,0
tabula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sputnik,7,0,0,4,5,0,3,0,3,2,0,0,1,0,5,1,2,1,8,3,0,1,0,1,0,0,0,1,0,0,18,2,0,5,0,0,1,1,0,0,0,3,0,1
batumelebi,1,2,1,2,0,0,0,1,5,2,0,2,0,2,6,3,4,4,4,1,0,1,2,2,0,0,0,1,1,0,2,8,0,1,0,0,0,2,1,1,3,0,0,0
paraleli,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
newspress,28,0,10,8,15,2,3,0,2,8,5,3,0,0,0,0,8,4,13,3,0,6,0,0,0,2,0,0,0,0,5,1,0,44,0,0,0,7,5,3,17,19,0,2
newsline,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0
civil,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
allnews,1,2,0,2,0,0,1,1,3,0,0,0,0,0,1,0,1,2,1,2,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,6,0,0,0,1,0,1,0
accentnews,3,1,0,9,3,0,7,4,8,4,0,2,1,5,6,3,13,7,14,5,0,4,4,8,0,0,0,3,3,0,1,2,0,7,0,1,0,26,7,3,8,5,0,0
timer,2,1,0,7,1,0,1,1,6,3,1,4,0,2,6,3,9,2,5,3,0,3,2,3,0,0,0,1,1,0,0,1,0,5,0,0,0,7,12,2,5,3,0,0
itv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,2,3,3,0,0,0
frontnews2,20,5,8,21,12,1,7,1,13,13,3,8,1,4,8,6,13,9,8,5,1,5,4,7,0,2,0,2,5,0,0,3,1,17,0,0,1,8,5,3,46,17,0,2
reportiori,72,1,14,17,32,1,8,0,8,16,6,11,1,1,0,2,6,10,11,0,0,8,2,2,0,3,0,0,4,0,3,0,0,19,3,0,0,5,3,0,17,91,0,4
amerikiskhma,1,0,0,1,0,0,2,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
agenda,4,0,3,1,5,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,4,0,30
