,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,55,1,8,7,13,1,2,2,1,9,1,7,0,1,7,1,1,1,2,5,4,4,0,3,0,0,0,3,0,0,3,0,1,4,0,0,1,0,0,0,5,48,0,0
palitravideo,1,6,1,2,0,0,0,1,1,2,0,3,1,0,1,8,2,0,1,1,2,0,0,1,1,0,0,2,1,0,2,0,0,0,2,0,0,0,1,0,1,1,0,0
mpn,8,1,13,4,1,0,0,0,1,4,1,2,0,0,3,2,1,0,0,1,2,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,9,0,0
ghn,7,2,4,32,9,0,2,3,4,8,0,7,4,2,13,7,8,1,4,5,4,3,0,7,2,0,0,5,6,0,4,0,0,2,1,0,1,2,0,0,7,8,0,0
rustavi2,13,0,1,9,31,3,2,3,2,6,0,8,1,3,10,4,2,2,5,5,7,3,0,5,3,1,0,5,3,0,2,1,0,4,0,0,1,2,0,0,5,11,0,0
bpn,1,0,0,0,3,5,0,1,1,2,0,0,0,1,0,3,0,0,3,0,0,0,0,0,1,1,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
ipn,2,0,0,2,2,0,8,0,1,0,0,1,0,1,2,2,0,0,0,1,1,1,0,1,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,3,3,0,0
publika,2,1,0,3,3,1,0,10,3,4,0,1,2,4,6,1,2,0,4,1,1,1,0,6,1,1,1,2,3,0,1,0,0,1,1,0,0,3,0,0,3,1,0,0
palitranews,1,1,1,4,2,1,1,3,6,1,0,2,1,2,2,1,2,0,2,1,2,1,0,2,1,1,0,3,3,0,2,0,0,0,1,0,0,2,0,0,2,2,0,0
1tv,9,2,4,8,6,2,0,4,1,47,0,10,3,2,8,2,1,0,2,4,2,2,0,5,2,2,1,2,4,0,2,0,0,2,0,0,1,2,0,0,3,9,0,0
