,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,119,3,21,18,38,1,11,2,5,23,17,26,3,1,5,3,3,3,6,8,1,8,2,2,1,4,0,2,8,15,3,2,0,30,0,1,0,1,4,0,19,48,0,0
palitravideo,3,18,1,4,6,0,2,0,7,1,1,5,0,0,2,6,2,0,0,4,0,2,0,1,2,0,0,0,0,3,1,0,1,2,1,0,1,1,2,0,3,3,0,0
mpn,21,1,24,2,14,0,0,0,2,1,10,6,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,5,13,0,0
ghn,18,4,2,65,12,1,13,4,9,18,0,10,1,3,9,8,13,4,9,12,2,4,5,10,1,2,0,3,3,29,3,2,2,10,1,3,0,4,8,0,12,10,0,0
rustavi2,38,6,14,12,63,0,9,3,10,10,10,12,3,1,8,3,4,4,2,9,1,5,0,1,1,1,0,1,2,9,1,3,3,16,0,0,0,1,2,0,8,21,0,0
bpn,1,0,0,1,0,12,0,1,2,0,0,0,0,1,0,0,0,0,6,2,0,1,2,0,0,0,0,1,1,2,1,0,0,2,0,0,0,1,1,1,1,1,0,0
ipn,11,2,0,13,9,0,48,1,8,5,1,12,2,1,9,7,12,4,8,5,1,0,1,3,3,3,0,2,5,16,1,3,0,3,0,2,0,1,4,0,7,5,0,0
publika,2,0,0,4,3,1,1,17,3,2,0,0,3,3,6,1,3,1,4,3,0,1,1,7,0,3,0,1,5,13,1,2,0,1,0,1,0,5,3,1,3,0,0,0
palitranews,5,7,2,9,10,2,8,3,51,8,0,6,3,1,7,4,6,3,3,3,0,2,4,5,2,3,0,1,3,12,4,1,2,3,0,4,0,3,4,0,8,2,0,0
1tv,23,1,1,18,10,0,5,2,8,61,0,21,2,1,5,4,3,1,3,3,1,6,1,1,0,1,0,1,4,11,1,1,1,3,0,1,1,3,5,0,6,5,0,0
postv,17,1,10,0,10,0,1,0,0,0,24,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,4,14,0,0
tiflisnews,26,5,6,10,12,0,12,0,6,21,7,60,1,1,2,7,6,1,4,3,1,1,2,2,2,0,0,0,3,5,0,0,1,8,0,0,1,2,5,0,5,7,0,0
sova,3,0,0,1,3,0,2,3,3,2,0,1,33,0,2,1,2,1,2,1,0,0,1,1,1,0,0,2,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0
netgazeti,1,0,0,3,1,1,1,3,1,1,0,1,0,8,3,2,3,0,2,3,0,1,0,2,0,1,1,0,1,4,0,0,0,1,0,1,0,2,2,1,1,0,0,0
mtavari,5,2,0,9,8,0,9,6,7,5,0,2,2,3,39,13,13,5,6,10,1,1,1,7,2,8,1,2,5,15,2,3,1,0,1,2,0,3,3,0,4,0,0,0
metronome-mix,3,6,0,8,3,0,7,1,4,4,0,7,1,2,13,50,12,1,4,14,4,4,0,3,0,1,1,4,0,4,0,1,0,0,3,1,0,2,3,0,3,1,0,0
tvpirveli,3,2,0,13,4,0,12,3,6,3,0,6,2,3,13,12,43,4,6,12,1,5,3,5,0,3,1,0,6,14,1,1,3,1,1,0,0,1,2,1,5,0,0,0
on,3,0,1,4,4,0,4,1,3,1,1,1,1,0,5,1,4,17,2,5,1,0,0,1,0,2,0,1,2,4,1,2,0,2,0,0,0,0,0,0,0,1,0,0
bm,6,0,0,9,2,6,8,4,3,3,0,4,2,2,6,4,6,2,58,8,1,4,3,2,2,4,1,1,4,13,4,1,2,6,1,0,0,4,5,2,5,3,0,0
