,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,120,3,16,18,39,2,9,2,25,34,14,5,7,1,3,8,4,10,8,7,0,4,1,5,1,1,0,3,5,8,3,0,1,46,0,0,0,2,0,0,28,0,0,0
palitravideo,3,19,2,2,4,1,1,3,5,2,0,1,1,2,3,6,4,2,1,6,1,0,1,0,1,0,0,2,1,1,0,0,2,3,2,0,2,1,0,0,2,0,0,0
mpn,16,2,18,3,7,0,2,0,3,5,3,3,1,1,0,1,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,8,0,0,0
ghn,18,2,3,54,14,1,11,7,14,10,2,5,5,6,13,6,16,9,11,8,0,0,2,10,0,2,0,2,4,9,4,0,2,17,1,0,1,7,0,2,23,0,0,0
rustavi2,39,4,7,14,76,2,6,0,12,12,6,4,3,0,5,9,4,6,9,5,1,6,1,4,0,2,0,3,0,2,4,0,4,26,0,0,2,1,0,1,20,0,0,0
bpn,2,1,0,1,2,19,0,2,4,2,0,0,0,2,0,2,1,1,4,2,0,1,1,1,0,1,0,0,1,1,1,0,0,4,0,0,0,2,0,1,2,0,0,0
ipn,9,1,2,11,6,0,33,0,6,10,1,2,3,3,1,1,8,4,10,3,0,1,1,2,0,2,1,0,3,7,0,0,0,12,0,0,0,7,0,2,10,0,0,0
publika,2,3,0,7,0,2,0,21,5,2,0,3,3,7,8,2,9,5,2,7,0,1,2,6,0,2,0,0,5,6,2,1,1,2,0,0,0,3,0,1,7,0,0,0
palitranews,25,5,3,14,12,4,6,5,61,9,1,2,6,2,13,6,10,11,7,9,0,3,3,8,3,5,0,4,7,7,2,0,0,12,0,1,3,5,0,0,16,0,0,0
1tv,34,2,5,10,12,2,10,2,9,69,0,8,5,0,3,2,4,3,8,5,0,3,1,3,1,1,1,0,1,4,2,0,1,15,0,0,0,2,0,0,9,0,0,0
postv,14,0,3,2,6,0,1,0,1,0,14,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,4,0,0,0
tiflisnews,5,1,3,5,4,0,2,3,2,8,1,24,0,1,3,2,6,1,0,3,0,2,0,1,0,0,0,1,1,1,0,0,0,6,0,0,1,0,0,0,6,0,0,0
sova,7,1,1,5,3,0,3,3,6,5,0,0,46,2,2,4,2,3,8,0,0,2,1,5,0,4,0,1,7,7,1,1,0,2,0,0,0,1,0,0,2,0,0,0
netgazeti,1,2,1,6,0,2,3,7,2,0,0,1,2,14,5,1,4,5,5,5,0,1,3,3,0,2,0,0,4,3,2,0,0,3,0,0,0,2,0,3,2,0,0,0
mtavari,3,3,0,13,5,0,1,8,13,3,0,3,2,5,33,5,16,7,3,11,0,1,1,9,0,4,0,1,5,8,2,1,0,2,1,0,0,2,0,0,8,0,0,0
metronome-mix,8,6,1,6,9,2,1,2,6,2,0,2,4,1,5,39,6,6,8,6,3,3,1,6,0,3,0,1,8,3,1,3,1,2,1,0,1,2,0,0,5,0,0,0
tvpirveli,4,4,1,16,4,1,8,9,10,4,0,6,2,4,16,6,57,6,10,14,0,4,0,5,0,3,0,1,4,8,1,3,0,9,1,0,1,10,0,3,19,0,0,0
on,10,2,0,9,6,1,4,5,11,3,0,1,3,5,7,6,6,26,2,6,1,1,2,7,0,5,0,2,6,9,3,1,1,1,0,0,1,3,0,0,9,0,0,0
bm,8,1,0,11,9,4,10,2,7,8,0,0,8,5,3,8,10,2,54,11,0,4,2,2,0,3,0,0,5,5,1,2,0,15,0,0,0,11,0,5,9,0,0,0
alia,7,6,1,8,5,2,3,7,9,5,2,3,0,5,11,6,14,6,11,40,0,4,2,6,0,3,0,2,3,6,2,1,4,7,2,0,0,5,0,4,10,0,0,0
primetime,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
