,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,111,2,7,23,44,3,23,4,13,47,12,12,4,1,12,2,6,11,12,8,0,17,5,3,1,2,1,2,8,17,1,1,0,25,0,2,4,3,10,0,20,0,0,0
palitravideo,2,20,0,2,2,0,2,1,4,0,0,2,0,2,1,8,2,6,3,3,0,1,0,0,0,1,0,4,1,3,1,0,0,1,3,0,1,0,1,0,2,0,0,0
mpn,7,0,12,1,4,0,1,0,0,5,1,3,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,4,0,1,0,0,0,0,4,0,0,0
ghn,23,2,1,55,11,2,21,1,9,17,2,7,3,3,14,4,19,10,10,8,0,6,3,6,1,5,0,3,10,18,1,0,1,12,0,1,2,6,14,1,12,0,0,0
rustavi2,44,2,4,11,74,2,15,1,7,24,4,5,3,1,7,5,7,7,14,7,2,11,5,2,1,1,2,1,5,7,2,0,1,16,0,3,2,3,7,1,15,0,0,0
bpn,3,0,0,2,2,17,1,0,2,4,0,0,1,0,1,0,0,0,9,0,0,1,1,0,1,0,0,0,0,4,0,0,0,5,0,1,0,0,0,0,0,0,0,0
ipn,23,2,1,21,15,1,58,2,11,18,2,7,2,3,10,2,18,2,14,8,2,8,3,4,2,3,2,1,6,13,0,0,1,10,0,1,2,6,10,1,7,0,0,0
publika,4,1,0,1,1,0,2,12,1,4,0,1,1,3,9,1,1,3,2,4,0,0,1,4,1,1,1,3,6,8,1,1,0,0,0,1,0,5,5,0,2,0,0,0
palitranews,13,4,0,9,7,2,11,1,41,8,0,3,1,2,7,3,12,8,6,5,2,3,3,2,0,2,0,2,7,7,2,0,0,2,0,0,4,3,2,0,4,0,0,0
1tv,47,0,5,17,24,4,18,4,8,78,7,17,5,1,12,2,11,7,8,12,2,9,2,7,2,4,0,5,8,16,3,0,0,13,0,1,2,3,11,0,16,0,0,0
postv,12,0,1,2,4,0,2,0,0,7,14,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,0
tiflisnews,12,2,3,7,5,0,7,1,3,17,1,30,1,2,5,7,6,3,1,6,1,4,0,2,1,3,0,5,3,6,2,0,0,2,1,0,1,2,3,0,5,0,0,0
sova,4,0,0,3,3,1,2,1,1,5,0,1,29,0,3,0,4,2,4,4,0,0,1,1,0,1,0,0,3,6,1,0,0,0,0,1,0,2,2,0,1,0,0,0
netgazeti,1,2,0,3,1,0,3,3,2,1,0,2,0,12,4,1,4,5,3,5,0,1,1,2,0,1,1,3,4,4,2,0,0,1,0,0,0,4,1,0,0,0,0,0
mtavari,12,1,0,14,7,1,10,9,7,12,0,5,3,4,48,6,22,8,8,18,1,4,2,11,5,5,1,5,13,18,4,2,1,0,1,3,0,8,13,0,6,0,0,0
