,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,94,1,10,13,24,3,8,4,9,14,7,12,7,2,9,5,6,7,12,6,2,5,1,4,0,4,0,2,3,2,6,0,0,19,0,0,1,5,4,0,8,62,0,0
palitravideo,1,22,0,5,0,1,2,1,7,0,0,1,2,3,4,6,6,0,1,6,0,1,1,2,0,1,0,2,4,0,1,0,0,0,5,0,0,3,3,0,0,2,0,0
mpn,10,0,13,2,7,1,2,0,2,1,3,1,2,0,1,0,1,2,1,1,2,0,1,1,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,3,6,0,0
ghn,13,5,2,51,10,2,13,5,12,13,1,10,12,4,14,2,11,9,12,4,2,2,3,6,0,5,1,5,7,9,4,0,0,5,0,0,2,13,8,0,7,11,0,0
rustavi2,24,0,7,10,58,1,16,6,15,10,6,11,6,3,7,7,9,6,12,9,4,5,2,3,1,4,1,4,3,2,2,1,1,10,0,0,1,6,8,2,14,21,0,0
bpn,3,1,1,2,1,13,1,0,4,0,0,0,0,3,0,1,2,0,6,2,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
ipn,8,2,2,13,16,1,60,5,15,13,2,5,6,0,11,2,20,5,13,3,1,2,3,5,0,8,1,0,6,4,3,1,2,8,0,0,0,9,7,0,10,13,0,0
publika,4,1,0,5,6,0,5,17,6,0,0,1,4,2,6,1,8,7,5,4,0,1,0,2,1,5,1,1,2,3,2,0,0,0,0,1,1,5,6,0,1,1,0,0
palitranews,9,7,2,12,15,4,15,6,62,6,1,8,8,4,12,2,22,7,12,6,3,1,3,9,2,5,1,4,7,1,4,2,0,4,0,1,1,6,10,0,7,4,0,0
1tv,14,0,1,13,10,0,13,0,6,70,0,21,7,2,3,0,2,2,4,0,4,3,3,1,0,3,1,0,3,4,1,0,0,4,0,0,0,3,5,0,3,14,0,0
postv,7,0,3,1,6,0,2,0,1,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,8,0,0
tiflisnews,12,1,1,10,11,0,5,1,8,21,0,41,5,3,4,3,3,4,2,2,2,1,0,2,0,2,1,1,2,0,0,0,0,0,1,0,0,0,6,0,4,4,0,0
sova,7,2,2,12,6,0,6,4,8,7,0,5,34,2,3,1,4,5,6,1,3,1,2,2,0,4,1,0,5,2,1,0,0,1,0,0,0,6,4,0,2,5,0,0
netgazeti,2,3,0,4,3,3,0,2,4,2,0,3,2,11,2,0,5,1,3,2,0,1,1,1,1,1,0,2,1,1,0,0,0,1,0,0,0,3,5,1,2,1,0,0
mtavari,9,4,1,14,7,0,11,6,12,3,0,4,3,2,49,8,21,7,6,7,1,3,5,12,1,8,1,5,7,8,1,0,0,0,0,0,1,15,9,0,4,4,0,0
metronome-mix,5,6,0,2,7,1,2,1,2,0,1,3,1,0,8,40,9,0,4,9,2,2,0,1,1,2,0,1,1,0,1,0,0,0,1,0,1,2,1,0,2,1,0,0
tvpirveli,6,6,1,11,9,2,20,8,22,2,0,3,4,5,21,9,70,5,16,13,0,6,2,14,2,9,1,5,5,6,1,1,1,5,0,0,1,14,17,3,12,5,0,0
on,7,0,2,9,6,0,5,7,7,2,0,4,5,1,7,0,5,29,5,2,3,0,0,5,1,4,1,2,3,8,1,1,0,2,0,0,1,6,7,0,3,4,0,0
bm,12,1,1,12,12,6,13,5,12,4,0,2,6,3,6,4,16,5,71,4,1,8,1,4,1,7,1,1,3,2,4,1,0,16,0,1,1,14,8,3,11,11,0,0
alia,6,6,1,4,9,2,3,4,6,0,1,2,1,2,7,9,13,2,4,29,0,4,0,2,1,2,0,4,3,6,2,1,0,2,2,1,0,3,5,3,4,2,0,0
primetime,2,0,2,2,4,0,1,0,3,4,0,2,3,0,1,2,0,3,1,0,9,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0
