,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,139,4,14,33,60,1,17,3,13,35,17,26,3,3,9,6,6,4,8,9,2,9,9,5,0,1,3,3,9,7,2,0,1,29,0,3,1,0,1,0,23,0,0,0
palitravideo,4,26,2,6,3,0,0,1,8,5,0,5,3,0,1,11,6,2,1,8,0,3,0,3,2,1,0,4,1,0,3,0,1,1,2,0,2,1,3,0,3,0,0,0
mpn,14,2,16,0,8,0,2,1,2,2,4,4,3,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,1,1,0,0,6,0,0,1,0,1,0,4,0,0,0
ghn,33,6,0,66,10,1,8,0,15,18,2,7,2,2,14,7,17,5,8,8,1,4,1,3,1,6,1,2,8,11,1,1,5,5,0,2,0,7,3,1,20,0,0,0
rustavi2,60,3,8,10,71,0,16,0,10,21,12,10,1,4,3,7,4,6,7,5,1,6,6,4,1,0,1,1,8,3,0,0,1,12,0,4,1,0,1,0,17,0,0,0
bpn,1,0,0,1,0,12,1,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ipn,17,0,2,8,16,1,54,0,14,12,2,6,2,1,4,1,11,4,3,3,0,2,2,2,2,1,0,1,3,4,0,0,1,2,0,1,0,1,2,0,12,0,0,0
publika,3,1,1,0,0,0,0,16,4,0,1,2,2,3,6,1,6,3,4,1,0,1,1,2,0,0,0,1,4,2,1,1,0,1,0,1,0,3,0,0,0,0,0,0
palitranews,13,8,2,15,10,3,14,4,85,9,2,9,4,3,8,5,14,5,6,9,0,2,0,12,7,3,0,6,0,4,3,0,1,3,0,3,1,6,2,0,9,0,0,0
1tv,35,5,2,18,21,3,12,0,9,86,3,16,1,1,4,3,4,1,4,4,1,8,4,2,1,0,1,2,3,6,2,0,2,4,6,1,1,0,2,0,12,0,0,0
