,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,46,3,4,5,12,1,2,1,0,6,1,3,10,0,8,2,3,0,5,5,1,1,0,1,1,1,0,2,2,3,1,0,0,4,0,0,1,0,0,0,0,0,0,0
palitravideo,3,17,0,5,3,0,2,4,6,2,0,6,2,2,8,3,7,3,4,7,2,0,1,2,3,2,0,7,1,4,3,1,0,1,3,0,0,0,0,0,0,0,0,0
mpn,4,0,4,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ghn,5,5,1,20,5,1,0,3,1,6,0,3,12,2,9,2,6,1,4,6,1,3,0,4,1,0,0,2,3,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0
rustavi2,12,3,1,5,25,1,0,2,1,11,0,8,8,1,6,3,4,0,3,4,5,0,0,0,0,2,0,4,1,5,2,0,0,1,1,0,4,0,0,0,0,0,0,0
bpn,1,0,0,1,1,4,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ipn,2,2,0,0,0,1,7,0,2,0,0,1,0,0,1,0,1,0,3,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
publika,1,4,0,3,2,0,0,6,2,2,0,2,3,2,4,2,4,2,1,3,1,0,0,2,0,1,0,2,3,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0
palitranews,0,6,0,1,1,0,2,2,5,0,0,3,1,1,2,1,3,2,1,3,1,0,1,2,1,2,0,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1tv,6,2,0,6,11,0,0,2,0,37,0,4,5,1,3,2,4,0,1,1,1,3,0,0,1,2,0,2,3,3,1,0,0,2,0,0,3,0,0,0,0,0,0,0
postv,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tiflisnews,3,6,1,3,8,0,1,2,3,4,0,21,4,2,5,2,4,0,4,9,6,0,1,2,2,2,0,6,1,2,3,0,0,0,5,0,2,0,0,0,0,0,0,0
sova,10,2,0,12,8,1,0,3,1,5,0,4,30,2,7,1,6,0,7,5,1,1,0,7,1,1,0,2,3,11,2,0,0,0,2,0,1,0,0,0,0,0,0,0
netgazeti,0,2,0,2,1,0,0,2,1,1,0,2,2,4,2,1,3,0,1,2,2,0,0,0,0,0,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
mtavari,8,8,1,9,6,0,1,4,2,3,0,5,7,2,26,3,10,3,5,11,1,2,0,3,2,0,0,3,1,10,2,1,0,0,3,0,0,0,0,0,0,0,0,0
