,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,152,1,32,13,35,2,16,6,10,60,15,27,2,3,6,1,12,2,20,7,4,11,3,2,1,3,0,1,3,9,3,0,0,24,0,0,0,6,4,0,30,65,0,0
palitravideo,1,18,0,3,3,0,0,0,8,2,0,1,1,1,2,12,2,0,1,2,0,0,0,2,0,0,0,2,2,1,2,0,1,1,2,0,0,1,2,0,2,3,0,0
mpn,32,0,30,4,10,0,2,0,0,15,4,8,0,0,0,0,1,0,2,0,1,6,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,13,16,0,0
ghn,13,3,4,50,10,1,9,8,5,17,2,14,4,2,13,0,16,5,12,8,1,5,9,13,0,7,2,3,4,19,1,0,0,10,0,0,0,8,11,1,13,10,0,0
rustavi2,35,3,10,10,75,2,12,4,6,19,7,10,3,2,6,4,7,4,9,6,2,7,2,2,0,0,0,0,2,5,4,0,1,14,0,0,0,3,3,0,14,24,0,0
bpn,2,0,0,1,2,11,2,0,2,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
ipn,16,0,2,9,12,2,46,1,4,9,1,9,0,1,6,4,4,6,9,3,0,2,4,5,3,1,1,2,0,6,0,0,1,5,0,0,0,4,2,1,8,11,0,0
publika,6,0,0,8,4,0,1,27,3,5,0,1,4,7,13,1,10,4,8,4,1,1,5,4,1,8,0,2,6,9,0,1,0,2,0,1,0,6,3,1,6,1,0,0
palitranews,10,8,0,5,6,2,4,3,70,5,0,2,1,2,6,5,5,2,3,4,3,2,2,6,0,1,0,5,2,2,3,0,0,2,0,0,0,3,3,0,7,6,0,0
1tv,60,2,15,17,19,3,9,5,5,89,5,30,2,1,7,1,4,2,16,3,2,11,5,6,0,5,1,0,3,10,4,1,0,9,2,0,0,1,2,0,27,37,0,0
postv,15,0,4,2,7,0,1,0,0,5,16,2,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,3,0,2,10,0,0
tiflisnews,27,1,8,14,10,0,9,1,2,30,2,64,0,2,10,12,6,2,6,6,1,6,4,7,1,4,2,0,2,11,1,1,0,8,0,0,1,4,3,0,11,18,0,0
sova,2,1,0,4,3,0,0,4,1,2,0,0,29,1,2,1,2,3,3,2,0,1,6,2,0,2,1,1,7,2,1,0,0,0,0,1,0,2,2,0,1,0,0,0
netgazeti,3,1,0,2,2,0,1,7,2,1,0,2,1,16,6,2,11,3,7,8,0,1,4,5,0,2,1,0,4,5,0,1,0,1,0,2,0,7,4,1,5,0,0,0
mtavari,6,2,0,13,6,0,6,13,6,7,1,10,2,6,57,12,22,4,8,16,1,1,8,16,0,14,2,1,12,14,3,3,1,0,0,1,1,9,8,0,10,3,0,0
metronome-mix,1,12,0,0,4,0,4,1,5,1,0,12,1,2,12,55,14,1,7,14,1,0,0,1,0,0,1,1,4,4,1,1,1,1,3,2,2,1,1,0,4,2,0,0
tvpirveli,12,2,1,16,7,0,4,10,5,4,0,6,2,11,22,14,86,5,14,29,1,3,5,11,2,7,1,1,6,15,1,1,1,5,0,1,1,16,8,4,15,4,0,0
on,2,0,0,5,4,0,6,4,2,2,0,2,3,3,4,1,5,17,3,5,0,2,3,1,0,2,0,2,1,5,0,1,0,1,0,1,0,3,3,0,4,3,0,0
bm,20,1,2,12,9,7,9,8,3,16,2,6,3,7,8,7,14,3,78,9,1,7,2,4,1,3,0,3,6,10,1,1,2,9,0,2,1,12,5,6,11,9,0,0
alia,7,2,0,8,6,0,3,4,4,3,1,6,2,8,16,14,29,5,9,47,2,5,5,7,1,4,1,3,4,9,2,4,0,4,0,1,2,10,12,3,13,2,0,0
primetime,4,0,1,1,2,0,0,1,3,2,2,1,0,0,1,1,1,0,1,2,6,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0
gttv,11,0,6,5,7,0,2,1,2,11,0,6,1,1,1,0,3,2,7,5,0,24,0,0,2,0,0,1,0,4,0,1,1,8,0,0,0,1,5,3,12,7,0,0
euronewsgeorgia,3,0,0,9,2,0,4,5,2,5,0,4,6,4,8,0,5,3,2,5,0,0,15,6,0,6,2,1,3,8,0,1,0,1,0,0,0,6,3,0,3,0,0,0
formula,2,2,0,13,2,0,5,4,6,6,0,7,2,5,16,1,11,1,4,7,1,0,6,27,0,7,2,0,5,12,2,0,0,2,0,0,0,6,5,0,6,3,0,0
ambebi,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,2,0,1,1,0,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0
metronome,3,0,0,7,0,0,1,8,1,5,0,4,2,2,14,0,7,2,3,4,1,0,6,7,0,18,1,1,3,6,0,1,0,1,0,0,0,4,2,0,2,1,0,0
jamnews,0,0,0,2,0,0,1,0,0,1,0,2,1,1,2,1,1,0,0,1,0,0,2,2,0,1,2,0,0,2,0,0,0,0,0,1,0,1,1,0,2,0,0,0
kvirispalitra,1,2,0,3,0,1,2,2,5,0,0,0,1,0,1,1,1,2,3,3,0,1,1,0,0,1,0,14,0,2,0,0,0,0,0,0,0,1,1,0,1,2,0,0
radiotavisupleba,3,2,0,4,2,0,0,6,2,3,1,2,7,4,12,4,6,1,6,4,0,0,3,5,0,3,0,0,21,3,0,1,0,1,0,2,0,4,5,0,4,1,0,0
tabula,9,1,2,19,5,0,6,9,2,10,0,11,2,5,14,4,15,5,10,9,1,4,8,12,0,6,2,2,3,53,0,5,0,2,0,2,0,9,6,0,15,5,0,0
sputnik,3,2,0,1,4,1,0,0,3,4,1,1,1,0,3,1,1,0,1,2,1,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,1,0,0
batumelebi,0,0,0,0,0,1,0,1,0,1,0,1,0,1,3,1,1,1,1,4,0,1,1,0,0,1,0,0,1,5,0,7,0,1,0,0,0,1,2,0,1,0,0,0
