,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,134,2,22,34,56,1,16,1,20,56,21,12,8,2,9,4,18,8,16,9,1,8,3,3,2,8,0,1,4,4,4,0,1,37,1,0,0,5,4,0,33,0,0,0
palitravideo,2,9,0,0,3,1,2,1,1,1,0,1,0,1,1,4,1,1,0,5,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0
mpn,22,0,20,5,9,0,1,0,1,8,11,3,1,0,1,0,2,1,3,2,0,2,1,1,1,2,0,1,1,0,0,0,0,13,0,0,0,1,1,0,12,0,0,0
ghn,34,0,5,68,29,1,22,0,16,21,7,9,2,3,9,6,22,9,15,10,1,7,1,5,1,2,0,2,0,3,4,0,1,15,1,0,2,7,10,2,25,0,0,0
rustavi2,56,3,9,29,91,3,17,2,5,23,17,10,3,1,6,10,20,5,11,14,3,11,2,2,2,2,0,4,2,2,3,2,2,21,1,0,0,5,6,2,32,0,0,0
bpn,1,1,0,1,3,16,2,0,0,1,0,0,3,1,2,0,3,2,7,2,0,2,0,0,0,1,0,0,1,0,0,1,0,3,0,0,0,3,2,3,2,0,0,0
ipn,16,2,1,22,17,2,60,3,14,9,1,6,2,3,8,2,15,5,9,10,0,3,2,3,3,1,0,2,3,2,2,2,1,6,1,0,2,3,5,1,13,0,0,0
publika,1,1,0,0,2,0,3,10,0,1,0,0,1,5,0,2,5,3,1,3,0,0,1,3,0,2,0,0,2,0,0,1,1,0,0,0,0,3,0,0,3,0,0,0
palitranews,20,1,1,16,5,0,14,0,67,10,0,3,3,1,5,2,13,6,9,3,0,3,3,5,4,6,1,1,2,2,4,0,0,2,0,0,1,6,7,0,7,0,0,0
1tv,56,1,8,21,23,1,9,1,10,80,9,9,7,1,9,7,7,4,11,8,0,6,3,4,2,7,0,1,4,2,4,0,0,12,1,0,0,5,4,0,16,0,0,0
postv,21,0,11,7,17,0,1,0,0,9,20,4,1,0,0,0,1,1,3,3,0,3,0,0,1,1,0,1,0,0,0,0,0,14,0,0,0,0,0,0,16,0,0,0
tiflisnews,12,1,3,9,10,0,6,0,3,9,4,20,0,0,1,3,5,0,2,3,0,2,0,1,0,1,0,0,1,0,1,0,0,2,1,0,1,1,4,0,8,0,0,0
sova,8,0,1,2,3,3,2,1,3,7,1,0,26,2,2,0,1,0,4,0,0,1,1,1,0,0,0,0,6,1,0,0,0,0,0,0,0,5,1,0,1,0,0,0
