,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,125,8,18,16,40,5,15,4,13,33,20,14,7,2,11,3,9,3,10,6,7,2,5,1,2,3,0,1,8,8,5,2,0,37,0,0,1,6,2,0,22,0,0,0
palitravideo,8,21,1,3,7,1,3,1,7,6,2,1,1,0,5,6,3,2,6,6,3,1,1,1,1,0,0,6,4,3,1,0,1,2,3,0,1,2,1,0,2,0,0,0
mpn,18,1,24,4,9,0,4,0,2,3,6,3,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,11,0,0,0
ghn,16,3,4,66,6,1,19,3,11,20,2,4,5,3,12,3,25,3,10,8,6,3,6,3,2,4,0,4,6,15,4,1,0,11,0,0,1,12,0,3,14,0,0,0
rustavi2,40,7,9,6,77,3,16,1,6,17,12,8,3,1,15,7,5,3,6,12,6,4,1,7,2,2,0,4,1,7,3,0,0,24,0,0,0,2,1,0,10,0,0,0
bpn,5,1,0,1,3,19,2,5,3,3,2,1,0,2,4,0,4,2,11,3,1,2,1,1,0,0,0,1,2,2,2,0,0,2,0,1,2,5,0,2,3,0,0,0
ipn,15,3,4,19,16,2,59,3,13,13,7,7,1,5,5,1,10,3,8,5,3,4,2,4,0,0,0,4,2,12,1,0,0,9,0,2,1,9,0,3,12,0,0,0
publika,4,1,0,3,1,5,3,16,4,3,0,0,2,6,5,0,8,3,4,2,1,2,0,2,0,2,0,1,4,1,1,0,0,2,0,1,0,8,0,1,2,0,0,0
palitranews,13,7,2,11,6,3,13,4,59,7,2,4,4,1,7,3,14,4,14,2,4,2,3,2,3,2,0,6,1,10,4,0,0,4,1,1,1,5,0,0,6,0,0,0
1tv,33,6,3,20,17,3,13,3,7,69,7,17,6,0,11,2,8,4,11,5,3,5,1,1,4,3,0,3,13,6,5,1,0,6,0,0,3,5,3,0,7,0,0,0
