,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,178,2,19,18,79,3,19,5,10,37,15,19,3,1,9,2,7,4,22,2,5,10,2,5,0,2,0,6,7,0,1,0,0,29,0,3,0,4,0,0,23,74,1,0
palitravideo,2,22,0,1,2,4,3,3,3,0,1,3,1,0,3,9,2,2,3,3,0,1,1,1,2,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,2,0,0
mpn,19,0,23,4,13,1,0,0,2,9,3,4,0,0,0,2,2,0,2,0,1,3,0,1,0,1,0,0,0,0,0,0,0,10,0,0,0,1,1,0,9,18,0,0
ghn,18,1,4,52,15,3,8,8,11,20,1,8,2,1,11,4,16,5,17,5,1,1,0,7,0,6,0,3,5,0,1,0,0,3,0,1,2,7,3,0,17,10,1,0
rustavi2,79,2,13,15,98,4,14,2,6,24,12,15,1,1,11,5,14,1,25,2,4,6,3,2,0,4,0,4,6,0,3,0,0,15,0,1,1,4,2,0,20,39,1,0
bpn,3,4,1,3,4,23,3,1,6,2,0,2,1,0,3,4,3,2,7,2,1,0,2,1,3,0,0,1,5,0,2,0,0,3,0,1,3,2,1,0,3,2,1,0
ipn,19,3,0,8,14,3,65,3,13,11,1,6,2,0,13,6,13,2,15,2,1,3,0,7,2,3,0,6,4,0,3,0,0,1,0,0,0,6,1,0,6,10,1,0
publika,5,3,0,8,2,1,3,19,5,4,0,3,3,1,8,0,5,8,8,2,0,2,0,8,0,3,0,1,7,0,2,2,0,0,0,0,0,7,1,0,3,2,0,0
palitranews,10,3,2,11,6,6,13,5,63,11,1,6,3,2,9,2,12,8,6,3,1,3,6,3,4,4,0,4,5,0,0,0,1,3,0,6,3,8,2,0,9,6,0,1
1tv,37,0,9,20,24,2,11,4,11,75,1,23,2,2,8,1,5,3,12,3,1,8,0,6,1,4,0,3,9,0,1,2,0,6,0,1,1,4,2,0,18,24,1,0
