,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,8,0,3,1,5,0,1,1,0,3,1,0,0,0,1,0,1,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
palitravideo,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mpn,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ghn,1,0,0,12,3,1,8,2,1,3,0,0,3,1,7,0,6,2,1,1,1,1,0,4,0,0,0,0,3,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0
rustavi2,5,0,0,3,15,0,0,1,0,6,1,0,1,0,2,0,3,0,0,2,5,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
bpn,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ipn,1,0,1,8,0,5,19,0,0,0,0,0,0,0,2,0,6,1,0,0,0,0,0,1,0,0,0,1,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0
publika,1,0,0,2,1,0,0,5,1,2,0,0,1,1,6,0,2,0,1,0,0,1,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palitranews,0,0,0,1,0,0,0,1,3,0,0,0,0,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1tv,3,0,0,3,6,0,0,2,0,12,0,0,2,0,2,1,3,0,0,2,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
postv,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tiflisnews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sova,0,0,0,3,1,0,0,1,0,2,0,0,17,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
netgazeti,0,0,0,1,0,0,0,1,1,0,0,0,0,3,4,0,2,0,0,1,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
mtavari,1,0,0,7,2,0,2,6,3,2,0,0,1,4,29,0,10,2,1,4,2,2,0,8,0,0,0,0,7,15,0,1,0,0,0,0,1,0,1,0,0,0,0,0
metronome-mix,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tvpirveli,1,0,2,6,3,1,6,2,1,3,0,0,1,2,10,1,17,2,0,4,1,2,0,4,0,0,0,0,4,8,2,0,1,1,0,0,0,2,0,0,0,0,0,0
on,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,2,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bm,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alia,1,0,0,1,2,0,0,0,0,2,0,0,0,1,4,1,4,1,0,8,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
primetime,2,0,0,1,5,0,0,0,0,1,1,0,0,0,2,1,1,0,0,3,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gttv,1,0,0,1,2,0,0,1,1,1,0,0,0,0,2,0,2,0,0,1,2,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
euronewsgeorgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
formula,1,0,0,4,2,0,1,3,1,2,0,0,1,1,8,0,4,1,0,0,0,1,0,6,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambebi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metronome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
