,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,121,2,26,13,49,1,8,1,13,31,22,13,6,1,5,3,5,9,14,7,4,8,1,0,1,0,0,1,5,4,4,0,0,20,1,0,3,1,4,0,19,67,0,3
palitravideo,2,28,0,8,5,1,3,2,8,0,1,9,2,1,9,12,10,8,2,8,0,2,1,3,5,2,0,5,4,2,1,0,0,0,4,0,4,3,3,0,2,3,0,0
mpn,26,0,28,3,11,2,2,0,1,6,11,4,0,1,0,0,1,2,0,1,0,5,0,0,1,0,0,0,0,2,1,0,0,5,0,0,0,0,1,0,5,23,0,0
ghn,13,8,3,49,12,2,3,3,6,7,0,9,9,3,13,6,11,12,13,7,2,6,3,7,1,6,1,3,11,8,1,0,0,4,5,0,2,7,4,0,8,6,1,0
rustavi2,49,5,11,12,68,2,11,0,7,24,10,11,2,4,7,2,9,6,11,9,1,10,0,0,1,1,0,2,1,6,4,0,0,14,2,0,2,4,6,0,19,35,0,1
bpn,1,1,2,2,2,11,1,1,6,0,0,1,0,1,5,0,1,2,6,1,0,1,0,1,2,1,0,0,1,1,1,0,0,2,1,1,0,3,1,0,3,1,0,0
ipn,8,3,2,3,11,1,41,3,15,8,0,6,1,4,5,4,10,9,4,7,0,4,2,3,4,1,1,2,1,5,1,1,1,4,2,0,0,5,5,0,8,6,0,0
publika,1,2,0,3,0,1,3,15,3,1,0,1,1,2,8,1,10,6,5,1,0,2,1,9,1,3,2,0,6,2,1,1,0,1,3,0,0,4,2,0,5,1,0,0
palitranews,13,8,1,6,7,6,15,3,48,4,1,5,5,0,7,3,12,16,9,7,1,5,4,3,4,4,0,4,5,6,2,0,0,2,3,2,5,6,6,0,8,5,1,0
1tv,31,0,6,7,24,0,8,1,4,55,3,14,2,2,3,1,1,4,8,3,1,6,0,1,0,2,0,1,2,3,0,1,0,12,2,0,0,1,5,0,12,19,0,2
postv,22,1,11,0,10,0,0,0,1,3,19,1,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,12,0,1
tiflisnews,13,9,4,9,11,1,6,1,5,14,1,42,4,0,7,10,7,3,2,5,2,3,1,3,0,3,0,5,5,5,0,0,0,2,4,0,2,4,3,0,8,12,1,0
sova,6,2,0,9,2,0,1,1,5,2,0,4,27,0,3,0,1,3,1,1,2,2,2,0,1,3,1,1,8,5,0,0,0,0,2,0,1,0,1,0,2,2,0,0
netgazeti,1,1,1,3,4,1,4,2,0,2,0,0,0,13,4,2,3,1,2,2,0,1,0,4,0,2,1,0,4,4,0,1,0,1,1,0,0,5,1,0,1,1,0,0
