,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,126,5,15,20,45,5,9,2,4,35,25,14,5,0,8,6,6,5,11,6,3,9,2,2,1,3,2,2,2,8,2,0,0,32,1,0,0,3,0,0,0,0,0,0
palitravideo,5,22,1,5,5,1,4,1,6,3,2,8,1,0,3,6,6,3,4,5,2,2,2,1,2,3,2,4,2,4,2,0,2,4,4,2,2,2,0,0,0,0,0,0
mpn,15,1,18,4,6,0,1,0,2,5,8,4,1,0,1,0,2,2,0,2,0,3,0,0,1,0,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0
ghn,20,5,4,60,13,3,9,2,7,25,6,10,2,4,18,7,10,7,11,7,3,7,2,6,1,4,1,6,4,18,2,0,3,14,0,1,1,5,0,1,0,0,0,0
rustavi2,45,5,6,13,75,3,14,2,9,20,8,18,2,1,5,2,13,4,8,7,2,11,2,1,1,2,1,2,2,12,4,1,1,17,1,1,0,6,0,1,0,0,0,0
bpn,5,1,0,3,3,25,4,2,7,3,1,2,3,0,4,3,4,1,10,3,1,2,0,1,0,0,0,6,0,4,0,0,0,4,0,0,0,2,0,1,0,0,0,0
ipn,9,4,1,9,14,4,43,4,13,13,3,7,2,2,8,2,12,2,8,0,1,2,3,2,2,3,0,6,0,8,1,2,1,9,0,0,0,4,0,1,0,0,0,0
publika,2,1,0,2,2,2,4,15,6,1,0,0,1,3,4,0,5,2,2,0,0,1,4,2,0,0,0,2,0,7,0,1,1,1,0,0,0,2,0,0,0,0,0,0
palitranews,4,6,2,7,9,7,13,6,51,11,2,6,7,4,7,2,15,5,7,1,2,1,3,9,3,3,1,19,2,6,1,0,1,4,0,1,3,8,0,0,0,0,0,0
1tv,35,3,5,25,20,3,13,1,11,95,10,17,3,0,11,3,6,4,8,4,1,10,1,2,0,2,1,2,3,11,1,0,1,17,0,0,0,2,0,0,0,0,0,0
postv,25,2,8,6,8,1,3,0,2,10,27,4,1,0,2,1,0,2,1,2,0,7,0,0,0,0,1,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
tiflisnews,14,8,4,10,18,2,7,0,6,17,4,41,2,1,6,5,7,2,5,6,4,6,1,3,1,2,1,3,1,3,2,1,1,5,3,1,1,1,0,0,0,0,0,0
sova,5,1,1,2,2,3,2,1,7,3,1,2,43,1,5,1,4,1,3,3,4,1,2,4,0,4,1,4,1,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0
netgazeti,0,0,0,4,1,0,2,3,4,0,0,1,1,13,4,2,7,3,3,2,1,0,1,0,0,1,1,1,3,8,0,0,0,1,1,0,1,2,0,0,0,0,0,0
mtavari,8,3,1,18,5,4,8,4,7,11,2,6,5,4,60,11,18,5,9,11,2,2,3,14,2,10,0,5,4,18,1,2,1,1,0,1,0,1,0,0,0,0,0,0
