,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,37,2,6,6,10,0,2,1,0,6,0,3,1,1,2,1,2,0,0,1,6,0,0,1,1,1,0,4,1,4,1,1,0,4,0,0,0,3,1,0,4,25,0,1
palitravideo,2,6,1,2,2,0,0,1,1,1,0,1,0,1,2,1,2,0,1,1,1,1,0,1,0,1,0,0,2,1,1,1,0,1,0,0,1,2,1,0,4,2,0,0
mpn,6,1,8,2,3,0,1,0,0,2,0,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,1,1,2,1,0,0,2,0,0,0,1,1,0,2,6,0,0
ghn,6,2,2,43,9,0,2,2,2,8,0,3,5,3,11,3,13,1,3,5,3,5,0,6,0,4,0,3,4,18,3,3,0,2,0,0,0,5,8,0,7,10,1,0
rustavi2,10,2,3,9,27,1,2,2,0,2,0,4,3,2,6,2,2,0,3,6,12,4,1,4,1,2,0,1,2,5,1,1,2,3,0,0,1,4,3,0,3,7,0,0
bpn,0,0,0,0,1,7,1,0,0,0,0,1,2,0,1,3,1,0,4,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ipn,2,0,1,2,2,1,17,0,1,1,0,3,0,0,1,0,4,0,0,0,1,0,0,0,5,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,2,0,0
publika,1,1,0,2,2,0,0,5,1,2,0,1,2,2,4,0,2,0,4,1,1,1,0,4,0,2,0,0,2,2,0,2,0,0,0,0,1,5,2,0,3,3,0,0
palitranews,0,1,0,2,0,0,1,1,7,2,0,0,1,0,0,0,2,0,1,1,0,0,0,1,0,2,0,1,1,1,1,0,1,0,0,0,0,1,0,0,2,1,0,0
1tv,6,1,2,8,2,0,1,2,2,35,0,4,1,1,3,2,5,0,2,0,5,2,0,4,0,2,0,0,3,6,0,2,0,2,0,0,0,2,3,0,5,13,0,0
postv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiflisnews,3,1,1,3,4,1,3,1,0,4,0,14,1,1,1,3,2,0,1,2,6,1,0,2,0,2,0,0,1,2,0,1,0,0,0,0,0,1,2,0,2,3,0,0
sova,1,0,0,5,3,2,0,2,1,1,0,1,36,1,2,1,1,0,4,3,2,1,0,2,1,2,0,0,6,2,1,0,0,0,0,0,2,2,2,0,1,3,1,0
netgazeti,1,1,0,3,2,0,0,2,0,1,0,1,1,6,4,1,2,1,1,0,1,1,0,3,0,2,0,0,2,5,0,1,0,0,0,0,0,2,2,0,2,2,0,0
mtavari,2,2,0,11,6,1,1,4,0,3,0,1,2,4,35,7,10,2,12,7,2,7,1,8,1,4,0,1,5,6,2,3,2,0,0,0,1,7,6,0,4,4,0,0
metronome-mix,1,1,1,3,2,3,0,0,0,2,0,3,1,1,7,22,4,2,1,9,6,1,0,0,2,0,0,0,2,2,2,1,0,1,1,0,1,3,2,0,2,2,0,0
tvpirveli,2,2,1,13,2,1,4,2,2,5,0,2,1,2,10,4,31,4,5,8,3,0,0,2,3,2,0,1,2,5,2,3,0,2,0,2,0,6,1,0,4,2,0,0
on,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,4,6,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
bm,0,1,0,3,3,4,0,4,1,2,0,1,4,1,12,1,5,0,38,5,2,3,2,5,1,1,0,2,1,4,0,2,1,1,1,0,2,5,1,0,4,3,0,0
alia,1,1,1,5,6,2,0,1,1,0,0,2,3,0,7,9,8,3,5,30,6,5,0,3,5,2,0,2,0,4,2,1,0,2,0,1,1,5,1,0,4,0,0,0
