,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,167,2,25,16,60,2,20,2,6,44,16,17,4,5,10,0,3,7,16,5,6,10,2,5,0,3,0,6,6,0,4,0,1,37,1,1,2,6,3,0,24,74,2,4
palitravideo,2,23,1,6,3,2,4,2,5,0,0,1,0,1,3,10,11,4,1,3,1,2,2,1,1,0,0,1,1,0,1,0,1,1,1,0,2,2,1,0,3,1,0,0
mpn,25,1,25,1,14,0,4,0,0,5,7,3,0,1,1,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,14,1,0,0,1,0,0,8,21,0,1
ghn,16,6,1,58,13,3,13,5,6,15,0,3,5,5,15,6,23,10,11,2,4,5,3,13,1,9,1,1,9,0,2,2,1,7,0,1,2,18,8,0,17,8,2,1
rustavi2,60,3,14,13,98,1,14,3,0,17,10,12,1,3,5,8,9,3,9,8,5,9,5,4,1,2,0,4,4,0,5,0,1,18,0,1,0,7,6,1,24,25,0,5
bpn,2,2,0,3,1,16,7,2,2,4,0,0,2,1,0,2,3,3,8,1,0,1,0,2,3,0,1,0,0,0,0,0,0,3,0,0,0,0,3,1,2,1,0,0
ipn,20,4,4,13,14,7,54,4,8,8,3,5,1,1,7,4,15,7,8,2,1,6,1,4,1,2,0,2,4,0,1,0,0,7,1,0,1,7,5,0,8,10,1,1
publika,2,2,0,5,3,2,4,21,0,3,0,1,3,6,7,2,8,8,6,6,0,1,1,7,1,3,0,0,7,0,1,1,0,1,0,2,0,9,1,1,5,0,0,0
palitranews,6,5,0,6,0,2,8,0,40,3,1,3,3,3,2,0,3,1,2,1,0,3,7,4,1,0,0,1,1,0,1,0,1,2,0,0,1,4,0,0,1,2,1,0
1tv,44,0,5,15,17,4,8,3,3,82,1,18,1,2,5,2,1,3,14,1,3,7,4,5,0,0,0,0,4,0,3,0,1,10,0,1,0,6,4,0,18,23,1,3
postv,16,0,7,0,10,0,3,0,1,1,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,1,0,3,15,0,0
tiflisnews,17,1,3,3,12,0,5,1,3,18,1,38,2,1,2,1,1,1,4,1,2,7,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,7,9,0,2
sova,4,0,0,5,1,2,1,3,3,1,0,2,33,2,4,0,6,4,4,1,1,1,2,7,0,1,2,2,5,0,0,0,0,0,0,1,1,7,1,0,1,1,0,4
netgazeti,5,1,1,5,3,1,1,6,3,2,0,1,2,13,5,0,6,7,7,4,0,2,1,5,1,2,0,1,3,0,2,0,0,1,0,0,1,5,1,1,5,1,1,0
mtavari,10,3,1,15,5,0,7,7,2,5,1,2,4,5,43,6,21,8,7,6,0,3,1,13,1,12,0,0,8,0,1,1,0,1,0,1,0,12,3,0,9,2,1,0
metronome-mix,0,10,0,6,8,2,4,2,0,2,0,1,0,0,6,45,13,1,6,11,7,2,1,3,2,0,0,4,2,0,3,3,0,1,4,0,2,1,0,0,5,1,0,0
tvpirveli,3,11,0,23,9,3,15,8,3,1,0,1,6,6,21,13,65,10,6,10,0,5,2,15,2,10,1,2,8,0,2,3,0,2,0,1,4,16,7,1,13,2,1,0
on,7,4,2,10,3,3,7,8,1,3,0,1,4,7,8,1,10,31,7,2,1,2,1,6,0,4,0,1,4,0,1,1,1,1,0,0,1,9,3,0,4,1,1,0
bm,16,1,1,11,9,8,8,6,2,14,0,4,4,7,7,6,6,7,56,7,3,7,5,7,2,3,1,0,6,0,2,1,0,9,1,0,0,13,6,2,10,6,1,2
alia,5,3,0,2,8,1,2,6,1,1,1,1,1,4,6,11,10,2,7,29,1,2,1,4,1,1,1,3,2,0,2,2,1,4,1,0,0,4,2,2,4,3,0,0
primetime,6,1,0,4,5,0,1,0,0,3,0,2,1,0,0,7,0,1,3,1,12,4,1,1,1,0,0,1,2,0,1,1,1,1,0,0,0,2,1,0,0,1,0,2
gttv,10,2,3,5,9,1,6,1,3,7,1,7,1,2,3,2,5,2,7,2,4,25,0,1,2,0,0,1,0,0,0,1,1,8,0,0,2,2,3,2,5,5,1,1
euronewsgeorgia,2,2,0,3,5,0,1,1,7,4,0,1,2,1,1,1,2,1,5,1,1,0,14,4,0,0,1,0,4,0,0,2,0,0,0,0,0,4,0,0,3,1,0,1
formula,5,1,0,13,4,2,4,7,4,5,0,0,7,5,13,3,15,6,7,4,1,1,4,28,1,5,2,0,5,0,1,2,0,0,0,1,0,9,2,0,4,3,1,0
ambebi,0,1,0,1,1,3,1,1,1,0,0,0,0,1,1,2,2,0,2,1,1,2,0,1,7,1,0,0,0,0,0,0,0,1,1,0,2,1,2,1,1,0,0,0
metronome,3,0,0,9,2,0,2,3,0,0,1,1,1,2,12,0,10,4,3,1,0,0,0,5,1,23,0,0,2,0,0,1,0,0,0,1,2,5,4,0,8,1,0,0
jamnews,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,1,2,0,0,3,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0
kvirispalitra,6,1,0,1,4,0,2,0,1,0,0,0,2,1,0,4,2,1,0,3,1,1,0,0,0,0,0,10,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
radiotavisupleba,6,1,0,9,4,0,4,7,1,4,0,0,5,3,8,2,8,4,6,2,2,0,4,5,0,2,1,0,24,0,2,2,0,0,0,1,0,14,1,0,5,1,0,1
tabula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
