,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,106,4,8,12,40,4,13,4,11,17,12,0,2,2,9,5,9,4,8,6,2,11,5,1,3,2,0,1,4,11,5,0,2,20,2,1,2,4,8,0,12,0,0,0
palitravideo,4,21,1,5,5,0,1,4,9,2,0,0,2,1,4,8,6,5,3,9,0,4,4,3,4,2,0,3,3,2,1,1,2,2,5,1,5,4,5,0,2,0,0,0
mpn,8,1,11,2,6,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0
ghn,12,5,2,31,11,0,4,5,5,8,1,0,2,5,9,4,6,4,4,4,0,5,1,4,6,0,0,1,2,12,3,1,2,7,0,0,2,8,4,1,8,0,0,0
rustavi2,40,5,6,11,52,3,7,4,5,8,5,0,1,3,4,7,10,2,6,4,1,9,2,2,3,2,1,3,4,9,2,0,2,14,1,0,2,7,8,0,9,0,0,0
bpn,4,0,0,0,3,16,2,2,3,2,0,0,0,1,1,2,4,0,7,2,0,1,2,1,0,1,0,0,1,4,0,1,1,6,0,0,0,1,2,1,2,0,0,0
ipn,13,1,0,4,7,2,43,3,9,6,1,0,2,2,5,1,11,5,7,1,0,4,1,3,2,1,0,0,3,8,3,0,1,7,1,1,0,7,6,0,10,0,0,0
publika,4,4,0,5,4,2,3,25,5,5,0,0,2,6,4,0,11,4,8,7,0,3,6,3,3,3,0,1,7,9,0,4,0,4,0,1,2,9,4,1,7,0,0,0
palitranews,11,9,0,5,5,3,9,5,66,8,0,0,0,1,8,4,10,3,6,3,2,2,8,4,3,4,2,1,4,8,1,0,3,4,0,0,3,5,4,0,5,0,0,0
1tv,17,2,1,8,8,2,6,5,8,49,1,0,3,1,7,2,5,3,12,1,2,8,1,2,1,1,0,3,3,9,1,0,2,7,0,1,0,2,7,0,6,0,0,0
postv,12,0,5,1,5,0,1,0,0,1,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,2,0,3,0,0,0
tiflisnews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sova,2,2,0,2,1,0,2,2,0,3,0,0,39,0,3,2,2,3,3,0,0,4,1,1,0,2,0,1,3,4,0,2,0,1,1,1,0,2,1,0,2,0,0,0
netgazeti,2,1,0,5,3,1,2,6,1,1,0,0,0,14,5,0,9,5,4,2,0,3,2,2,1,0,0,0,2,5,0,1,0,4,0,0,2,5,2,2,4,0,0,0
mtavari,9,4,0,9,4,1,5,4,8,7,0,0,3,5,37,8,16,8,4,6,0,3,2,12,2,6,0,2,4,12,3,4,1,2,0,1,1,6,2,0,8,0,0,0
metronome-mix,5,8,0,4,7,2,1,0,4,2,0,0,2,0,8,33,8,3,3,6,0,3,0,4,4,0,0,1,1,3,1,0,1,1,3,0,1,2,2,0,3,0,0,0
tvpirveli,9,6,0,6,10,4,11,11,10,5,1,0,2,9,16,8,53,14,9,9,0,5,3,9,3,8,0,2,7,13,3,3,0,8,0,1,2,10,11,2,15,0,0,0
on,4,5,0,4,2,0,5,4,3,3,0,0,3,5,8,3,14,23,4,4,0,3,2,5,1,2,0,0,3,5,1,3,0,3,1,1,2,4,3,0,7,0,0,0
bm,8,3,0,4,6,7,7,8,6,12,0,0,3,4,4,3,9,4,54,5,1,8,4,2,1,3,1,0,4,9,0,2,0,11,0,1,2,12,6,3,5,0,0,0
alia,6,9,0,4,4,2,1,7,3,1,0,0,0,2,6,6,9,4,5,27,1,3,5,4,5,3,0,2,4,5,1,2,0,3,4,0,5,4,5,2,5,0,0,0
primetime,2,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,1,1,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gttv,11,4,2,5,9,1,4,3,2,8,0,0,4,3,3,3,5,3,8,3,1,27,3,1,1,2,0,2,4,2,0,2,1,4,2,1,2,5,3,3,4,0,0,0
euronewsgeorgia,5,4,0,1,2,2,1,6,8,1,0,0,1,2,2,0,3,2,4,5,0,3,16,2,1,2,0,0,5,4,0,2,0,2,0,1,2,3,1,1,1,0,0,0
formula,1,3,0,4,2,1,3,3,4,2,0,0,1,2,12,4,9,5,2,4,0,1,2,15,2,4,0,1,4,4,2,2,0,1,0,1,1,4,1,0,3,0,0,0
ambebi,3,4,0,6,3,0,2,3,3,1,0,0,0,1,2,4,3,1,1,5,0,1,1,2,8,0,0,1,1,2,1,0,0,2,2,0,2,2,1,0,2,0,0,0
metronome,2,2,0,0,2,1,1,3,4,1,0,0,2,0,6,0,8,2,3,3,1,2,2,4,0,11,1,1,5,4,0,2,0,0,0,1,0,2,0,0,2,0,0,0
jamnews,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
kvirispalitra,1,3,0,1,3,0,0,1,1,3,0,0,1,0,2,1,2,0,0,2,0,2,0,1,1,1,0,5,1,2,0,0,0,1,1,0,1,0,2,0,1,0,0,0
