,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,140,2,38,17,48,1,13,1,13,45,19,17,3,2,6,6,10,6,6,10,2,9,3,1,1,4,0,2,4,11,2,0,1,32,0,3,1,3,4,0,24,57,0,0
palitravideo,2,29,0,2,2,0,8,0,9,3,0,1,2,0,4,17,11,1,2,6,0,1,0,2,0,0,0,4,0,0,1,0,1,1,2,0,1,1,4,0,3,1,0,0
mpn,38,0,42,3,15,0,1,0,3,16,7,6,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,2,0,4,0,0,0,19,0,1,1,0,2,0,20,26,0,0
ghn,17,2,3,44,6,1,9,3,6,12,1,4,3,2,13,6,8,9,9,6,1,3,2,6,2,3,0,3,4,7,1,0,0,9,0,0,0,4,6,1,12,13,0,0
rustavi2,48,2,15,6,76,2,9,0,12,23,7,17,2,0,6,7,8,2,7,5,1,3,2,1,0,4,0,3,1,5,3,0,0,17,0,1,2,3,3,0,15,28,0,0
bpn,1,0,0,1,2,14,3,0,3,1,0,0,0,2,0,1,2,0,10,2,1,3,1,0,1,0,0,1,0,0,0,1,0,4,0,1,0,3,3,3,2,0,0,0
ipn,13,8,1,9,9,3,62,1,10,12,2,7,3,4,11,7,20,11,10,11,1,2,5,3,1,2,0,1,7,4,3,2,2,7,0,1,0,15,10,1,13,7,0,0
publika,1,0,0,3,0,0,1,13,4,2,0,1,0,3,3,2,6,6,2,0,0,0,1,3,0,0,1,0,3,1,0,1,0,1,0,1,0,4,1,0,2,0,0,0
palitranews,13,9,3,6,12,3,10,4,49,5,1,2,4,3,6,4,15,5,8,2,3,2,3,3,1,3,0,3,2,2,2,0,0,3,0,4,1,6,10,0,7,7,0,0
1tv,45,3,16,12,23,1,12,2,5,89,5,15,2,0,8,3,3,3,5,5,0,5,2,1,0,4,0,5,3,5,3,0,1,15,0,1,1,3,2,0,17,19,0,0
postv,19,0,7,1,7,0,2,0,1,5,22,1,0,0,1,1,2,0,0,2,1,0,0,0,0,1,0,0,0,1,2,0,0,6,0,0,0,0,1,0,3,12,0,0
tiflisnews,17,1,6,4,17,0,7,1,2,15,1,38,0,1,6,4,2,2,0,4,0,7,0,1,0,3,0,0,1,2,0,0,0,4,1,0,0,0,0,0,7,4,0,0
sova,3,2,0,3,2,0,3,0,4,2,0,0,19,0,1,0,3,3,3,0,0,1,0,2,0,1,0,2,6,3,0,0,0,0,0,0,0,3,1,0,1,1,0,0
netgazeti,2,0,0,2,0,2,4,3,3,0,0,1,0,12,3,0,5,2,5,1,0,1,1,4,0,1,2,1,3,2,1,1,0,2,0,1,0,5,4,2,1,0,0,0
mtavari,6,4,0,13,6,0,11,3,6,8,1,6,1,3,47,9,27,6,2,13,1,2,2,8,0,8,2,2,2,6,2,0,0,2,1,2,1,7,8,0,6,5,0,0
metronome-mix,6,17,0,6,7,1,7,2,4,3,1,4,0,0,9,60,18,1,1,11,0,3,1,4,0,0,0,1,2,1,6,2,1,2,0,0,0,1,1,0,3,4,0,0
tvpirveli,10,11,1,8,8,2,20,6,15,3,2,2,3,5,27,18,76,7,9,22,1,4,2,6,0,7,1,1,4,3,2,3,2,8,1,4,0,11,17,2,13,6,0,0
on,6,1,1,9,2,0,11,6,5,3,0,2,3,2,6,1,7,28,3,2,1,1,3,2,0,3,0,2,4,1,0,0,0,3,0,1,0,7,2,0,7,1,0,0
bm,6,2,0,9,7,10,10,2,8,5,0,0,3,5,2,1,9,3,52,5,0,5,3,1,3,1,1,2,0,3,0,2,0,10,0,2,0,9,5,3,9,5,0,0
alia,10,6,1,6,5,2,11,0,2,5,2,4,0,1,13,11,22,2,5,38,1,4,3,4,1,2,0,3,2,3,3,4,1,6,1,1,1,4,8,2,10,7,0,0
primetime,2,0,0,1,1,1,1,0,3,0,1,0,0,0,1,0,1,1,0,1,4,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,2,1,0,0
gttv,9,1,3,3,3,3,2,0,2,5,0,7,1,1,2,3,4,1,5,4,1,19,0,0,0,0,0,1,0,2,0,2,1,6,0,0,0,3,4,2,8,3,0,0
euronewsgeorgia,3,0,0,2,2,1,5,1,3,2,0,0,0,1,2,1,2,3,3,3,1,0,10,2,0,1,0,0,1,1,0,0,0,1,0,3,0,3,1,0,2,0,0,0
formula,1,2,0,6,1,0,3,3,3,1,0,1,2,4,8,4,6,2,1,4,0,0,2,18,0,3,2,0,4,5,2,0,0,0,0,1,0,5,4,0,2,2,0,0
ambebi,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
metronome,4,0,0,3,4,0,2,0,3,4,1,3,1,1,8,0,7,3,1,2,0,0,1,3,0,17,0,1,3,1,0,0,0,0,0,1,0,2,2,0,1,2,0,0
jamnews,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,2,0,0,3,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
kvirispalitra,2,4,2,3,3,1,1,0,3,5,0,0,2,1,2,1,1,2,2,3,0,1,0,0,0,1,0,12,1,2,0,1,0,2,0,0,1,1,2,1,3,3,0,0
radiotavisupleba,4,0,0,4,1,0,7,3,2,3,0,1,6,3,2,2,4,4,0,2,0,0,1,4,0,3,1,1,22,4,1,0,0,0,0,1,0,10,1,0,0,1,0,0
tabula,11,0,4,7,5,0,4,1,2,5,1,2,3,2,6,1,3,1,3,3,0,2,1,5,0,1,0,2,4,27,0,0,0,4,0,0,1,3,1,0,6,4,0,0
sputnik,2,1,0,1,3,0,3,0,2,3,2,0,0,1,2,6,2,0,0,3,1,0,0,2,0,0,1,0,1,0,8,1,0,1,0,0,0,1,1,0,2,2,0,0
batumelebi,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,2,3,0,2,4,0,2,0,0,0,0,0,1,0,0,1,8,0,1,0,0,0,1,1,1,1,0,0,0
paraleli,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,2,0,0,0
newspress,32,1,19,9,17,4,7,1,3,15,6,4,0,2,2,2,8,3,10,6,1,6,1,0,0,0,0,2,0,4,1,1,1,48,0,2,1,7,8,3,22,26,0,0
newsline,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0
civil,3,0,1,0,1,1,1,1,4,1,0,0,0,1,2,0,4,1,2,1,1,0,3,1,0,1,0,0,1,0,0,0,0,2,0,7,0,2,1,0,0,0,0,0
allnews,1,1,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,4,0,0,0,1,1,0,0
accentnews,3,1,0,4,3,3,15,4,6,3,0,0,3,5,7,1,11,7,9,4,0,3,3,5,0,2,1,1,10,3,1,1,0,7,0,2,0,30,8,2,6,3,0,0
timer,4,4,2,6,3,3,10,1,10,2,1,0,1,4,8,1,17,2,5,8,2,4,1,4,0,2,0,2,1,1,1,1,1,8,1,1,0,8,26,2,10,5,0,0
itv,0,0,0,1,0,3,1,0,0,0,0,0,0,2,0,0,2,0,3,2,0,2,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,2,3,2,0,0,0
frontnews2,24,3,20,12,15,2,13,2,7,17,3,7,1,1,6,3,13,7,9,10,2,8,2,2,0,1,0,3,0,6,2,1,2,22,0,0,1,6,10,2,54,17,0,0
reportiori,57,1,26,13,28,0,7,0,7,19,12,4,1,0,5,4,6,1,5,7,1,3,0,2,1,2,0,3,1,4,2,0,0,26,0,0,1,3,5,0,17,89,0,0
amerikiskhma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agenda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
