,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,130,1,18,17,45,2,15,2,10,45,12,15,9,2,6,1,5,4,11,1,2,11,5,2,0,2,0,1,6,0,7,1,1,14,0,1,1,2,7,0,16,53,1,3
palitravideo,1,22,1,1,0,1,3,3,6,1,0,1,1,2,4,11,5,4,1,3,0,0,1,1,2,0,0,0,4,0,1,1,0,1,1,0,0,1,3,0,3,1,0,0
mpn,18,1,18,3,8,1,0,0,1,6,1,3,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,6,12,0,1
ghn,17,1,3,55,10,1,10,7,9,18,0,11,5,7,13,3,20,8,9,5,1,7,4,12,2,6,1,1,5,0,2,0,0,4,1,1,2,7,9,2,13,11,0,0
rustavi2,45,0,8,10,63,1,11,1,8,24,1,8,4,0,5,4,6,0,4,3,2,7,3,0,2,1,0,0,0,0,3,3,1,10,0,1,0,0,3,0,11,19,0,1
bpn,2,1,1,1,1,15,2,0,3,4,0,1,1,1,0,0,1,0,6,4,1,2,0,0,1,0,0,1,0,0,0,0,1,5,0,0,0,2,2,3,2,0,0,0
ipn,15,3,0,10,11,2,66,2,15,14,0,7,1,2,8,3,12,7,5,2,0,5,3,3,3,1,0,0,7,0,4,2,0,2,0,0,2,1,6,1,8,9,0,0
publika,2,3,0,7,1,0,2,19,7,1,0,3,3,6,8,1,12,6,5,4,0,1,1,6,1,0,2,0,4,0,1,0,0,1,1,0,1,5,4,0,4,1,1,0
palitranews,10,6,1,9,8,3,15,7,54,6,0,6,4,3,7,1,10,7,6,2,0,3,6,3,1,1,1,3,5,0,2,0,2,2,1,0,2,3,10,0,8,3,0,1
1tv,45,1,6,18,24,4,14,1,6,97,2,31,6,2,7,2,6,6,6,2,2,11,2,2,2,3,0,1,4,0,4,1,0,10,0,0,2,4,10,0,13,22,1,1
postv,12,0,1,0,1,0,0,0,0,2,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
tiflisnews,15,1,3,11,8,1,7,3,6,31,0,43,2,2,4,5,6,2,5,2,1,3,1,2,1,1,0,1,1,0,2,0,0,3,0,0,1,2,8,0,4,6,2,0
sova,9,1,0,5,4,1,1,3,4,6,0,2,34,3,6,0,2,4,5,0,0,1,4,2,0,2,2,0,7,0,0,0,0,0,0,1,0,5,3,0,1,3,3,3
netgazeti,2,2,0,7,0,1,2,6,3,2,0,2,3,20,6,3,6,6,3,2,0,1,2,4,2,0,0,0,3,0,0,1,0,1,2,0,1,4,1,2,4,0,0,0
mtavari,6,4,0,13,5,0,8,8,7,7,1,4,6,6,57,11,21,8,1,17,1,4,5,19,8,11,0,2,9,0,2,1,0,0,1,0,2,12,7,0,7,3,1,0
metronome-mix,1,11,0,3,4,0,3,1,1,2,0,5,0,3,11,43,7,1,4,10,3,3,0,2,3,0,0,2,2,0,2,2,0,0,6,0,1,1,2,0,2,0,0,0
tvpirveli,5,5,0,20,6,1,12,12,10,6,1,6,2,6,21,7,67,11,6,21,0,3,3,10,3,3,1,2,6,0,2,1,0,1,1,0,3,8,7,1,7,2,0,0
on,4,4,0,8,0,0,7,6,7,6,0,2,4,6,8,1,11,34,3,7,0,3,4,7,2,1,1,1,4,0,0,0,0,0,1,0,2,7,4,0,5,1,0,0
bm,11,1,2,9,4,6,5,5,6,6,0,5,5,3,1,4,6,3,74,7,1,5,1,2,1,0,4,0,1,0,1,1,0,8,0,0,0,5,2,3,3,7,1,0
alia,1,3,0,5,3,4,2,4,2,2,0,2,0,2,17,10,21,7,7,45,1,3,2,6,4,1,0,3,2,0,1,1,0,2,1,0,1,5,7,2,6,2,0,0
primetime,2,0,1,1,2,1,0,0,0,2,0,1,0,0,1,3,0,0,1,1,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0
gttv,11,0,2,7,7,2,5,1,3,11,0,3,1,1,4,3,3,3,5,3,2,23,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,5,3,4,4,0,0
euronewsgeorgia,5,1,0,4,3,0,3,1,6,2,0,1,4,2,5,0,3,4,1,2,0,0,16,4,1,2,0,0,5,0,0,0,0,0,0,1,1,2,3,0,3,0,1,1
formula,2,1,0,12,0,0,3,6,3,2,0,2,2,4,19,2,10,7,2,6,0,1,4,28,1,4,2,1,5,0,0,0,0,0,0,0,1,7,5,0,5,2,1,0
ambebi,0,2,0,2,2,1,3,1,1,2,0,1,0,2,8,3,3,2,1,4,1,0,1,1,10,1,0,0,2,0,1,1,0,0,1,0,0,2,3,0,2,1,0,0
metronome,2,0,0,6,1,0,1,0,1,3,0,1,2,0,11,0,3,1,0,1,0,0,2,4,1,11,0,2,3,0,0,0,0,0,0,0,0,3,1,0,1,3,0,0
jamnews,0,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,1,1,4,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
kvirispalitra,1,0,0,1,0,1,0,0,3,1,0,1,0,0,2,2,2,1,0,3,0,0,0,1,0,2,0,9,0,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0
radiotavisupleba,6,4,0,5,0,0,7,4,5,4,0,1,7,3,9,2,6,4,1,2,0,0,5,5,2,3,0,0,25,0,1,1,0,0,1,1,0,8,4,0,3,2,3,1
tabula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sputnik,7,1,1,2,3,0,4,1,2,4,0,2,0,0,2,2,2,0,1,1,0,0,0,0,1,0,0,0,1,0,12,3,0,2,0,0,0,2,1,0,2,4,0,0
batumelebi,1,1,0,0,3,0,2,0,0,1,0,0,0,1,1,2,1,0,1,1,0,0,0,0,1,0,0,0,1,0,3,10,0,0,0,0,0,1,0,0,0,0,0,0
paraleli,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
newspress,14,1,6,4,10,5,2,1,2,10,0,3,0,1,0,0,1,0,8,2,0,3,0,0,0,0,0,0,0,0,2,0,0,23,0,0,0,2,2,3,7,12,0,0
newsline,0,1,0,1,0,0,0,1,1,0,0,0,0,2,1,6,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0
civil,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
allnews,1,0,0,2,0,0,2,1,2,2,0,1,0,1,2,1,3,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,1,0,0,0
accentnews,2,1,0,7,0,2,1,5,3,4,0,2,5,4,12,1,8,7,5,5,0,2,2,7,2,3,1,2,8,0,2,1,0,2,1,0,1,24,3,2,2,1,1,0
timer,7,3,0,9,3,2,6,4,10,10,0,8,3,1,7,2,7,4,2,7,0,5,3,5,3,1,0,0,4,0,1,0,0,2,0,0,1,3,31,2,7,3,1,0
itv,0,0,0,2,0,3,1,0,0,0,0,0,0,2,0,0,1,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,4,1,0,0,0
frontnews2,16,3,6,13,11,2,8,4,8,13,0,4,1,4,7,2,7,5,3,6,1,4,3,5,2,1,0,1,3,0,2,0,0,7,1,0,1,2,7,1,43,15,0,1
reportiori,53,1,12,11,19,0,9,1,3,22,6,6,3,0,3,0,2,1,7,2,1,4,0,2,1,3,0,2,2,0,4,0,1,12,0,0,0,1,3,0,15,61,0,0
amerikiskhma,1,0,0,0,0,0,0,1,0,1,0,2,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,5,1
agenda,3,0,1,0,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8
