,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,48,3,9,4,14,0,3,0,5,7,0,1,4,0,10,2,5,3,2,6,5,7,0,1,1,0,0,0,2,4,0,0,0,6,1,0,1,0,0,0,4,21,0,1
palitravideo,3,13,0,0,1,0,1,0,1,2,0,1,0,0,4,2,6,2,0,2,3,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
mpn,9,0,9,1,4,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,6,0,0
ghn,4,0,1,24,4,2,3,4,15,5,0,1,11,0,5,1,9,8,5,5,0,3,0,5,2,0,2,2,7,7,0,0,0,1,0,1,0,2,3,0,5,6,0,0
rustavi2,14,1,4,4,25,1,3,1,6,9,0,1,3,0,5,0,6,3,4,3,1,5,0,1,1,0,0,1,2,2,3,0,2,2,1,0,0,0,2,0,5,8,0,2
bpn,0,0,0,2,1,10,0,2,3,0,0,0,0,0,4,3,4,1,6,4,0,2,0,1,1,0,1,2,1,2,1,0,0,1,0,1,1,1,2,0,2,1,0,0
ipn,3,1,0,3,3,0,13,0,8,2,0,1,4,0,1,0,4,2,1,0,0,3,0,0,1,0,0,1,3,3,0,0,3,0,0,0,0,0,0,0,2,1,0,0
publika,0,0,0,4,1,2,0,8,4,0,0,0,0,1,2,0,2,4,2,2,0,0,0,3,0,0,1,0,1,1,0,1,0,2,0,1,0,2,2,0,5,2,0,0
palitranews,5,1,0,15,6,3,8,4,46,5,0,2,13,1,8,1,12,8,7,7,1,7,0,7,6,0,2,6,8,7,0,0,0,0,1,1,3,2,2,0,11,2,0,0
1tv,7,2,2,5,9,0,2,0,5,39,0,6,4,0,4,2,4,2,4,5,3,7,0,3,1,0,0,0,4,2,1,0,1,0,2,0,0,0,3,0,3,11,0,2
