,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,102,1,17,10,31,2,8,1,4,16,6,12,1,0,4,3,1,7,7,1,0,11,1,1,0,1,0,1,4,3,2,0,1,21,0,0,0,3,6,0,15,49,0,3
palitravideo,1,20,0,2,3,1,2,1,3,0,0,2,1,0,2,7,2,2,2,5,1,1,0,1,1,2,0,1,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0
mpn,17,0,20,2,6,1,0,0,0,2,5,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,12,0,0
ghn,10,2,2,48,7,2,8,2,5,13,0,12,5,4,7,3,9,8,7,3,1,4,2,11,0,4,0,2,6,7,0,0,0,5,0,0,0,6,5,1,10,10,0,0
rustavi2,31,3,6,7,75,3,10,2,5,11,2,17,2,2,4,5,3,2,5,3,1,2,2,1,0,2,0,0,1,2,0,0,2,6,0,0,1,1,4,0,3,9,2,1
bpn,2,1,1,2,3,20,1,0,2,3,0,2,1,1,3,2,5,0,15,5,0,2,0,1,1,1,1,0,1,1,0,0,0,3,0,0,1,5,1,3,2,1,0,0
ipn,8,2,0,8,10,1,48,0,10,9,0,5,2,4,5,2,10,1,6,3,0,3,0,3,3,3,0,2,4,4,0,0,3,2,0,0,0,6,3,1,2,4,0,3
publika,1,1,0,2,2,0,0,16,4,2,0,0,4,4,3,1,3,5,0,3,0,1,4,7,0,0,0,2,4,3,0,0,0,0,0,0,0,7,1,0,0,1,1,0
palitranews,4,3,0,5,5,2,10,4,53,10,1,3,5,6,5,0,4,8,3,5,0,5,6,2,4,3,0,3,2,5,1,0,1,0,0,0,1,5,9,0,1,4,0,0
1tv,16,0,2,13,11,3,9,2,10,78,0,21,0,2,4,4,3,6,4,1,0,6,2,2,0,2,0,0,2,5,2,0,1,5,2,0,0,2,11,0,6,15,1,0
postv,6,0,5,0,2,0,0,0,1,0,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0
tiflisnews,12,2,4,12,17,2,5,0,3,21,1,56,0,0,4,6,3,4,3,2,2,4,2,3,0,4,0,0,0,2,1,0,1,4,3,0,0,4,8,0,4,11,0,1
sova,1,1,0,5,2,1,2,4,5,0,1,0,26,4,4,4,3,4,3,2,0,2,1,5,0,1,0,2,7,8,0,0,1,0,0,0,0,8,1,0,3,1,0,0
netgazeti,0,0,0,4,2,1,4,4,6,2,0,0,4,13,2,0,2,2,3,1,0,0,3,3,0,0,0,1,3,2,0,1,0,1,0,0,0,4,0,1,1,0,1,0
mtavari,4,2,0,7,4,3,5,3,5,4,0,4,4,2,52,7,28,7,10,19,1,1,3,4,1,12,0,1,5,5,0,3,0,0,0,0,0,13,8,0,8,1,1,0
metronome-mix,3,7,0,3,5,2,2,1,0,4,0,6,4,0,7,49,11,2,7,9,7,2,1,2,0,0,0,0,1,2,0,0,2,0,1,0,2,2,3,0,2,0,0,0
tvpirveli,1,2,0,9,3,5,10,3,4,3,0,3,3,2,28,11,79,2,12,26,0,0,4,6,2,7,0,1,4,6,0,1,0,0,0,0,0,12,3,0,5,1,0,0
on,7,2,1,8,2,0,1,5,8,6,0,4,4,2,7,2,2,29,2,3,0,2,2,6,1,2,0,1,6,7,1,0,0,0,0,0,1,6,5,0,6,5,1,0
bm,7,2,1,7,5,15,6,0,3,4,0,3,3,3,10,7,12,2,69,8,2,3,0,6,2,3,0,2,3,7,1,0,0,7,0,0,1,13,5,3,3,2,2,2
