,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,147,2,18,27,59,6,14,1,10,32,14,4,2,1,3,1,6,6,13,4,3,12,4,5,3,3,0,0,4,10,5,2,1,29,1,0,1,0,1,0,18,0,0,0
palitravideo,2,22,0,2,4,1,1,1,5,3,0,1,0,2,5,14,6,2,2,7,1,0,3,0,1,3,0,1,1,2,1,0,1,0,3,0,2,1,0,0,1,0,0,0
mpn,18,0,15,3,7,1,1,0,2,2,6,1,1,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,4,0,0,0
ghn,27,2,3,51,12,0,5,5,18,15,0,5,4,5,11,2,12,5,6,3,1,2,3,7,4,5,0,1,4,18,3,4,1,3,1,1,1,4,9,1,14,0,0,0
rustavi2,59,4,7,12,80,3,11,2,11,19,5,5,0,2,7,1,9,2,6,4,3,9,6,1,2,2,0,2,1,5,4,1,2,18,4,0,0,3,2,1,10,0,0,0
bpn,6,1,1,0,3,21,3,1,3,3,0,0,1,1,3,0,1,0,12,1,0,1,0,2,0,0,0,0,0,1,0,0,0,4,0,0,0,4,1,1,3,0,0,0
ipn,14,1,1,5,11,3,31,0,8,7,1,2,0,0,3,1,4,3,6,0,1,2,2,1,1,0,0,0,0,2,1,1,0,7,0,0,0,0,1,1,4,0,0,0
publika,1,1,0,5,2,1,0,15,4,0,0,0,4,4,4,2,7,6,3,3,0,1,0,5,2,2,0,1,4,9,1,2,0,1,0,1,0,5,3,1,3,0,0,0
palitranews,10,5,2,18,11,3,8,4,77,10,1,0,3,2,14,2,8,4,2,2,0,4,5,3,4,7,0,3,4,6,1,3,0,2,0,0,3,5,3,0,8,0,0,0
1tv,32,3,2,15,19,3,7,0,10,70,1,4,0,1,5,6,4,4,6,3,1,8,3,5,4,4,0,0,2,7,0,0,1,9,0,0,1,1,2,0,12,0,0,0
postv,14,0,6,0,5,0,1,0,1,1,12,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,2,0,0,0
tiflisnews,4,1,1,5,5,0,2,0,0,4,0,17,0,2,1,4,1,1,1,0,1,1,1,2,2,3,0,0,1,2,1,0,0,1,1,0,0,0,2,0,4,0,0,0
sova,2,0,1,4,0,1,0,4,3,0,1,0,17,3,5,2,3,2,7,2,0,0,2,5,0,0,0,1,3,6,0,1,0,0,0,1,1,2,4,0,2,0,0,0
netgazeti,1,2,1,5,2,1,0,4,2,1,0,2,3,13,4,2,2,1,2,3,0,1,1,2,1,1,0,1,5,5,1,0,0,1,0,1,1,3,4,1,4,0,0,0
mtavari,3,5,0,11,7,3,3,4,14,5,0,1,5,4,44,4,16,3,8,7,0,5,1,7,2,4,0,3,7,9,1,1,1,1,0,3,0,5,13,0,6,0,0,0
metronome-mix,1,14,0,2,1,0,1,2,2,6,0,4,2,2,4,47,9,3,5,12,4,2,3,3,0,1,0,0,1,5,3,0,0,0,4,0,3,1,2,0,2,0,0,0
tvpirveli,6,6,0,12,9,1,4,7,8,4,0,1,3,2,16,9,54,9,7,13,1,2,2,9,2,7,0,2,3,11,4,2,0,4,0,1,0,5,9,2,8,0,0,0
on,6,2,1,5,2,0,3,6,4,4,1,1,2,1,3,3,9,25,7,4,0,2,2,4,0,2,0,0,3,6,1,1,0,1,0,1,0,2,3,0,4,0,0,0
bm,13,2,1,6,6,12,6,3,2,6,0,1,7,2,8,5,7,7,61,5,0,4,5,4,0,0,0,0,1,5,1,0,0,9,1,1,1,4,4,3,7,0,0,0
alia,4,7,0,3,4,1,0,3,2,3,0,0,2,3,7,12,13,4,5,33,1,3,4,2,0,2,0,0,2,5,0,1,1,2,2,1,0,3,5,2,4,0,0,0
primetime,3,1,0,1,3,0,1,0,0,1,0,1,0,0,0,4,1,0,0,1,6,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
gttv,12,0,4,2,9,1,2,1,4,8,2,1,0,1,5,2,2,2,4,3,0,19,0,2,0,0,0,0,0,6,1,0,0,5,0,0,0,1,1,1,4,0,0,0
euronewsgeorgia,4,3,0,3,6,0,2,0,5,3,0,1,2,1,1,3,2,2,5,4,2,0,21,1,2,2,0,2,3,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
formula,5,0,0,7,1,2,1,5,3,5,0,2,5,2,7,3,9,4,4,2,1,2,1,20,2,4,0,0,3,8,2,1,0,2,0,1,1,5,7,0,3,0,0,0
ambebi,3,1,0,4,2,0,1,2,4,4,0,2,0,1,2,0,2,0,0,0,1,0,2,2,8,4,0,2,2,2,0,1,0,1,0,0,0,2,1,0,4,0,0,0
metronome,3,3,0,5,2,0,0,2,7,4,0,3,0,1,4,1,7,2,0,2,2,0,2,4,4,13,0,1,3,2,0,2,0,2,0,0,0,2,1,0,4,0,0,0
jamnews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kvirispalitra,0,1,0,1,2,0,0,1,3,0,0,0,1,1,3,0,2,0,0,0,0,0,2,0,2,1,0,6,2,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0
radiotavisupleba,4,1,0,4,1,0,0,4,4,2,0,1,3,5,7,1,3,3,1,2,0,0,3,3,2,3,1,2,19,4,1,0,0,0,0,1,0,7,3,0,3,0,0,0
tabula,10,2,3,18,5,1,2,9,6,7,1,2,6,5,9,5,11,6,5,5,0,6,0,8,2,2,0,1,4,47,1,3,0,1,0,2,0,9,6,1,6,0,0,0
sputnik,5,1,0,3,4,0,1,1,1,0,0,1,0,1,1,3,4,1,1,0,0,1,0,2,0,0,0,0,1,1,9,0,0,2,1,1,1,0,0,0,1,0,0,0
batumelebi,2,0,0,4,1,0,1,2,3,0,0,0,1,0,1,0,2,1,0,1,0,0,1,1,1,2,0,1,0,3,0,8,0,0,0,0,0,1,1,0,1,0,0,0
paraleli,1,1,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
newspress,29,0,7,3,18,4,7,1,2,9,7,1,0,1,1,0,4,1,9,2,1,5,1,2,1,2,0,0,0,1,2,0,0,34,0,0,0,2,2,2,8,0,0,0
newsline,1,3,0,1,4,0,0,0,0,0,0,1,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0
civil,0,0,0,1,0,0,0,1,0,0,0,0,1,1,3,0,1,1,1,1,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,5,0,1,1,0,0,0,0,0
allnews,1,2,0,1,0,0,0,0,3,1,0,0,1,1,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0
accentnews,0,1,0,4,3,4,0,5,5,1,0,0,2,3,5,1,5,2,4,3,0,1,1,5,2,2,0,1,7,9,0,1,0,2,0,1,0,18,5,2,5,0,0,0
timer,1,0,0,9,2,1,1,3,3,2,0,2,4,4,13,2,9,3,4,5,0,1,1,7,1,1,0,1,3,6,0,1,0,2,0,1,0,5,20,2,7,0,0,0
itv,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,2,0,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,2,3,2,0,0,0
frontnews2,18,1,4,14,10,3,4,3,8,12,2,4,2,4,6,2,8,4,7,4,1,4,1,3,4,4,0,1,3,6,1,1,1,8,0,0,0,5,7,2,32,0,0,0
reportiori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amerikiskhma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agenda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
