,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,140,5,18,25,47,3,25,4,14,33,25,21,3,1,7,6,3,4,8,7,4,7,1,3,1,5,0,6,4,5,2,0,2,30,0,0,0,3,5,0,23,0,0,0
palitravideo,5,20,2,4,2,0,5,2,6,2,1,3,1,1,1,7,6,0,2,3,2,1,1,2,2,3,0,4,1,0,1,1,1,0,4,0,2,0,1,0,1,0,0,0
mpn,18,2,19,5,12,0,3,1,5,3,8,2,0,0,0,1,0,0,0,0,1,3,1,1,0,1,0,1,0,0,1,0,0,10,0,0,0,0,0,0,6,0,0,0
ghn,25,4,5,70,18,2,23,6,17,21,3,6,6,4,10,7,22,4,12,7,2,4,3,8,1,5,1,6,8,11,2,2,1,9,1,1,1,10,11,0,15,0,0,0
rustavi2,47,2,12,18,66,2,16,2,11,20,10,10,2,0,6,6,7,0,7,5,7,7,2,2,1,3,0,3,3,2,2,0,0,16,0,0,0,6,5,0,14,0,0,0
bpn,3,0,0,2,2,20,2,0,4,1,0,0,0,0,0,0,2,0,10,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0
ipn,25,5,3,23,16,2,68,3,22,14,6,9,2,1,6,3,15,1,9,9,3,0,4,2,3,1,0,8,7,6,1,2,5,9,2,0,3,8,7,0,16,0,0,0
publika,4,2,1,6,2,0,3,19,5,3,0,2,3,3,7,2,9,2,3,6,0,2,2,7,0,5,0,2,7,4,1,2,1,0,0,2,0,6,4,0,3,0,0,0
palitranews,14,6,5,17,11,4,22,5,66,5,2,4,7,2,10,3,6,5,6,10,0,4,6,4,4,7,1,7,11,1,3,1,1,1,0,1,1,8,3,0,8,0,0,0
1tv,33,2,3,21,20,1,14,3,5,82,5,17,6,1,4,3,1,0,1,3,1,7,1,2,0,2,0,2,5,4,3,0,0,3,0,0,1,1,9,0,12,0,0,0
