,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,47,1,9,3,9,1,0,2,0,2,1,4,0,1,3,0,3,0,3,0,1,1,0,3,0,2,0,0,1,2,2,0,2,6,0,0,0,1,2,0,5,31,0,0
palitravideo,1,15,0,0,2,0,1,0,1,1,0,1,0,1,2,10,10,0,2,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,2,0,0
mpn,9,0,9,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,7,0,0
ghn,3,0,1,19,4,1,2,2,0,5,0,4,4,1,4,0,4,0,2,1,0,3,0,3,2,1,0,0,5,7,0,0,1,0,0,0,0,1,3,0,2,2,0,0
rustavi2,9,2,1,4,22,1,2,1,0,3,0,5,2,1,5,1,1,0,2,1,2,1,0,2,1,1,0,0,3,4,2,0,1,1,0,0,0,1,2,0,3,10,0,0
bpn,1,0,0,1,1,2,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
ipn,0,1,0,2,2,0,7,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
publika,2,0,0,2,1,1,0,9,1,1,0,0,1,1,2,0,3,0,2,0,0,2,0,2,1,4,0,0,1,4,1,1,0,0,0,0,0,3,1,0,2,2,0,0
palitranews,0,1,0,0,0,0,1,1,5,1,0,1,1,1,0,1,3,0,0,0,0,2,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,3,1,0,2,2,0,0
1tv,2,1,0,5,3,1,0,1,1,48,0,10,1,1,2,0,2,0,2,0,1,9,0,2,2,1,0,0,4,5,6,0,0,0,1,0,0,1,2,0,2,7,0,0
postv,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tiflisnews,4,1,1,4,5,0,1,0,1,10,0,23,1,0,0,0,1,0,2,0,5,4,0,1,1,0,0,2,1,3,2,0,0,1,2,0,0,1,2,0,0,7,0,0
sova,0,0,0,4,2,0,0,1,1,1,0,1,17,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,3,4,0,1,0,0,0,0,0,1,1,0,1,2,0,0
netgazeti,1,1,0,1,1,1,0,1,1,1,0,0,0,3,1,1,3,0,1,0,0,1,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,2,1,0,2,1,0,0
mtavari,3,2,0,4,5,1,1,2,0,2,0,0,1,1,27,5,9,0,2,6,1,1,0,5,0,2,0,0,1,3,2,1,0,0,0,0,0,2,3,0,7,2,0,0
metronome-mix,0,10,0,0,1,0,0,0,1,0,0,0,0,1,5,26,7,0,1,6,4,0,0,1,0,0,0,0,1,0,1,1,1,0,2,0,0,2,0,0,2,0,0,0
tvpirveli,3,10,0,4,1,1,1,3,3,2,0,1,0,3,9,7,35,0,8,2,1,2,0,1,1,2,0,0,3,3,0,0,0,0,0,0,0,3,1,0,4,5,0,0
on,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bm,3,2,0,2,2,1,1,2,0,2,0,2,0,1,2,1,8,0,25,2,1,2,0,4,1,1,0,0,1,4,1,1,0,1,0,0,0,1,2,0,2,4,0,0
alia,0,2,0,1,1,0,0,0,0,0,0,0,0,0,6,6,2,0,2,15,3,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0
primetime,1,2,1,0,2,0,0,0,0,1,0,5,0,0,1,4,1,0,1,3,15,2,0,0,0,0,0,2,0,2,0,1,1,1,1,0,0,0,1,0,0,2,0,0
gttv,1,0,0,3,1,2,1,2,2,9,0,4,1,1,1,0,2,0,2,0,2,13,0,1,3,3,0,0,2,6,1,0,2,0,0,0,0,2,2,0,3,4,0,0
euronewsgeorgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
formula,3,0,0,3,2,1,0,2,0,2,0,1,0,1,5,1,1,0,4,3,0,1,0,12,0,1,0,0,1,6,0,0,0,0,0,0,0,1,1,0,5,4,0,0
ambebi,0,0,0,2,1,0,2,1,2,2,0,1,1,1,0,0,1,0,1,0,0,3,0,0,6,2,0,0,2,4,0,0,0,0,0,0,0,1,1,0,1,2,0,0
metronome,2,0,0,1,1,1,1,4,2,1,0,0,1,1,2,0,2,0,1,0,0,3,0,1,2,5,0,0,1,3,1,0,0,0,0,0,0,3,1,0,2,3,0,0
jamnews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kvirispalitra,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
radiotavisupleba,1,1,0,5,3,1,0,1,2,4,0,1,3,3,1,1,3,0,1,0,0,2,0,1,2,1,0,0,14,4,0,0,0,0,0,0,0,2,1,0,2,2,0,0
tabula,2,1,0,7,4,1,2,4,2,5,0,3,4,1,3,0,3,0,4,2,2,6,0,6,4,3,0,0,4,27,0,0,0,0,0,0,0,2,3,0,5,6,0,0
sputnik,2,1,0,0,2,0,2,1,0,6,0,2,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,8,1,0,2,0,0,0,2,0,0,0,2,0,0
batumelebi,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0
paraleli,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
newspress,6,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,1,0,1,6,0,0
newsline,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0
civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allnews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accentnews,1,1,0,1,1,1,0,3,3,1,0,1,1,2,2,2,3,0,1,0,0,2,0,1,1,3,0,0,2,2,2,1,0,0,0,0,0,6,2,0,3,2,0,0
timer,2,0,1,3,2,1,0,1,1,2,0,2,1,1,3,0,1,0,2,0,1,2,0,1,1,1,0,0,1,3,0,0,0,1,0,0,0,2,9,0,2,2,0,0
itv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontnews2,5,1,1,2,3,1,0,2,2,2,0,0,1,2,7,2,4,0,2,3,0,3,0,5,1,2,0,0,2,5,0,0,0,1,0,0,0,3,2,0,17,8,0,0
reportiori,31,2,7,2,10,1,2,2,2,7,1,7,2,1,2,0,5,0,4,0,2,4,0,4,2,3,0,0,2,6,2,0,0,6,1,0,0,2,2,0,8,43,0,0
amerikiskhma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agenda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
