,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,58,3,5,6,17,0,4,0,0,10,6,13,2,0,2,1,4,0,2,8,1,1,0,1,2,0,0,2,0,0,0,0,1,21,0,0,0,0,3,0,6,0,0,0
palitravideo,3,18,0,4,1,0,1,0,0,1,0,2,1,1,1,6,4,0,1,4,1,0,0,2,0,5,0,3,1,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0
mpn,5,0,7,0,3,0,0,1,0,0,1,1,1,0,0,0,2,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
ghn,6,4,0,33,1,0,1,1,3,9,0,11,5,1,10,4,3,0,2,5,1,3,0,3,1,2,0,1,4,0,1,1,1,1,0,0,0,3,9,0,6,0,0,0
rustavi2,17,1,3,1,34,0,0,3,2,9,3,14,3,0,5,5,2,1,1,6,1,0,0,4,4,1,0,0,2,0,4,1,0,8,0,0,0,1,1,0,5,0,0,0
bpn,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ipn,4,1,0,1,0,0,6,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
publika,0,0,1,1,3,0,0,6,1,0,0,1,2,2,4,1,3,1,0,2,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0
palitranews,0,0,0,3,2,0,0,1,4,0,0,2,0,0,3,1,1,0,0,1,0,0,0,2,1,0,0,0,1,0,2,0,1,0,0,0,0,1,1,0,2,0,0,0
1tv,10,1,0,9,9,0,4,0,0,34,0,10,4,0,1,0,1,0,2,0,1,1,0,1,1,2,0,0,3,0,1,0,0,1,0,0,0,0,3,0,2,0,0,0
