,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,122,2,13,9,50,4,9,1,7,21,18,11,1,0,3,2,2,4,8,5,1,6,4,3,0,2,0,4,4,4,5,0,0,33,0,0,1,4,3,0,16,63,0,0
palitravideo,2,22,0,3,3,1,1,0,1,1,1,1,0,0,2,7,3,2,0,7,0,1,0,1,0,0,0,2,0,1,2,0,1,1,1,0,1,1,0,0,1,1,0,0
mpn,13,0,12,1,12,0,1,0,1,1,6,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,5,11,0,0
ghn,9,3,1,47,7,0,12,3,7,9,1,10,3,3,15,4,11,4,7,7,1,8,1,9,4,8,1,1,7,9,2,1,0,5,0,1,2,12,11,1,12,7,0,0
rustavi2,50,3,12,7,76,0,8,1,14,9,13,8,2,1,5,1,3,3,4,6,1,8,6,2,0,4,0,0,1,5,4,1,0,18,0,0,0,2,2,0,11,27,0,0
bpn,4,1,0,0,0,12,1,0,3,2,1,0,1,0,1,1,1,3,5,2,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,3,0,0,0
ipn,9,1,1,12,8,1,49,3,7,7,1,11,1,2,5,1,3,4,9,3,0,4,3,2,1,3,0,1,4,6,3,2,0,4,0,2,0,9,3,1,8,4,0,0
publika,1,0,0,3,1,0,3,18,5,4,0,4,3,3,6,1,8,2,3,3,0,0,1,5,1,5,2,0,4,5,0,0,0,1,0,3,1,5,2,1,5,0,0,0
palitranews,7,1,1,7,14,3,7,5,72,4,1,2,4,2,3,1,8,11,7,3,1,4,4,3,4,5,1,3,2,5,1,0,0,2,0,2,3,4,3,0,3,2,0,0
1tv,21,1,1,9,9,2,7,4,4,72,6,15,4,2,5,2,3,3,3,3,1,4,6,5,4,3,1,0,4,4,2,0,0,4,0,0,0,7,8,0,11,9,0,0
postv,18,1,6,1,13,1,1,0,1,6,21,5,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,1,0,4,12,0,0
tiflisnews,11,1,1,10,8,0,11,4,2,15,5,44,1,1,2,6,2,0,1,4,0,4,0,2,2,2,1,0,2,2,0,0,0,6,0,1,0,2,7,0,8,11,0,0
sova,1,0,0,3,2,1,1,3,4,4,0,1,24,6,5,0,1,4,3,0,0,0,3,4,1,4,1,0,4,6,0,0,0,0,0,1,0,4,1,0,3,0,0,0
netgazeti,0,0,0,3,1,0,2,3,2,2,0,1,6,13,4,1,2,5,3,1,0,0,1,5,1,2,0,1,9,3,0,0,0,0,0,1,0,4,2,0,3,0,0,0
mtavari,3,2,0,15,5,1,5,6,3,5,0,2,5,4,42,7,22,11,7,7,0,5,1,15,1,12,1,0,6,9,1,0,0,1,1,0,0,13,8,0,7,0,0,0
metronome-mix,2,7,0,4,1,1,1,1,1,2,0,6,0,1,7,37,10,3,11,8,4,0,0,2,0,0,1,1,2,0,1,0,0,3,0,0,2,1,1,0,1,1,0,0
tvpirveli,2,3,0,11,3,1,3,8,8,3,0,2,1,2,22,10,58,6,9,5,0,2,2,7,1,12,1,1,5,4,0,2,1,3,0,0,0,12,13,2,6,2,0,0
on,4,2,0,4,3,3,4,2,11,3,0,0,4,5,11,3,6,24,7,3,1,1,0,6,1,7,0,0,4,5,1,0,0,1,0,0,1,6,2,0,2,0,0,0
bm,8,0,0,7,4,5,9,3,7,3,0,1,3,3,7,11,9,7,44,7,2,3,0,3,1,2,1,0,2,5,3,2,1,9,0,2,1,11,4,4,6,4,0,0
