,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,36,4,8,6,11,0,10,0,9,10,4,1,1,2,4,6,2,3,2,2,2,1,3,1,2,2,0,0,3,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0
palitravideo,4,13,3,2,2,0,4,0,8,3,1,0,3,0,0,2,2,0,0,0,1,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mpn,8,3,8,2,2,0,3,0,3,3,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ghn,6,2,2,18,4,0,8,0,2,7,2,1,1,0,3,1,8,1,3,1,1,2,0,1,3,3,0,3,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
rustavi2,11,2,2,4,24,0,7,0,6,10,2,1,2,0,1,1,3,2,1,2,2,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
bpn,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ipn,10,4,3,8,7,0,21,0,2,11,1,1,4,0,2,1,4,2,2,2,2,0,0,0,1,0,0,3,2,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0
publika,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
palitranews,9,8,3,2,6,0,2,0,20,7,1,0,3,0,1,3,2,1,1,3,1,2,1,0,3,4,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1tv,10,3,3,7,10,0,11,0,7,27,3,0,1,0,3,0,1,0,3,2,0,2,0,1,3,1,0,1,2,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0
