,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,123,0,10,14,28,0,11,0,8,26,7,18,4,0,1,1,1,9,8,3,0,6,1,3,0,1,0,1,4,8,4,0,2,14,1,2,1,0,0,0,10,63,0,1
palitravideo,0,19,0,1,0,1,0,2,1,1,0,2,0,0,2,14,3,0,1,3,0,0,0,0,1,1,0,2,1,0,1,1,1,0,1,1,1,1,0,0,0,2,0,0
mpn,10,0,13,1,3,0,0,0,1,4,3,1,0,0,1,0,1,2,1,0,0,4,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,9,0,0
ghn,14,1,1,42,10,2,7,2,5,14,0,4,1,4,6,0,5,8,7,1,0,2,1,6,0,3,0,2,3,12,2,0,0,4,0,0,0,8,6,1,3,9,0,0
rustavi2,28,0,3,10,68,2,16,3,8,15,3,2,2,1,4,8,7,4,10,5,1,5,1,2,1,1,0,1,1,2,3,0,2,8,1,0,0,4,2,1,11,19,1,0
bpn,0,1,0,2,2,14,4,1,2,0,0,0,0,2,0,4,1,0,8,2,0,1,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,2,0,2,3,1,0,0
ipn,11,0,0,7,16,4,45,0,13,4,1,3,4,2,3,2,11,3,6,2,0,1,2,1,1,2,0,3,1,1,0,0,1,2,0,0,1,3,2,1,6,6,0,0
publika,0,2,0,2,3,1,0,15,5,3,0,0,1,5,5,2,5,3,4,3,0,1,3,5,1,1,0,1,5,3,0,0,0,2,0,0,1,4,0,1,2,0,1,0
palitranews,8,1,1,5,8,2,13,5,49,5,0,3,2,5,8,3,5,7,4,5,0,3,5,5,1,2,0,3,4,5,0,1,0,2,0,1,2,4,0,0,6,4,0,0
1tv,26,1,4,14,15,0,4,3,5,71,0,12,4,3,8,1,5,12,8,6,2,8,2,3,1,4,0,2,3,7,2,0,3,5,1,1,0,4,3,0,6,13,2,1
