,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,133,4,11,21,50,3,19,3,6,40,18,10,1,1,6,3,6,3,11,4,6,12,1,5,1,3,0,1,3,0,4,2,1,37,1,0,0,1,3,0,29,0,0,0
palitravideo,4,22,0,2,4,1,3,0,6,2,2,2,0,0,3,10,3,4,3,3,0,2,1,2,0,0,0,3,2,0,1,0,2,2,1,0,0,1,1,0,3,0,0,0
mpn,11,0,20,2,4,0,5,1,1,7,2,2,0,0,0,1,0,0,0,2,0,3,1,1,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,8,0,0,0
ghn,21,2,2,54,14,1,7,6,10,22,4,11,4,2,14,2,11,5,8,11,2,5,1,10,1,5,0,2,6,0,3,1,2,12,0,1,1,2,5,0,18,0,0,0
rustavi2,50,4,4,14,63,3,6,2,4,24,7,6,3,1,5,5,4,4,7,10,5,7,0,7,2,3,0,2,1,0,3,0,3,18,0,1,1,2,2,1,18,0,0,0
bpn,3,1,0,1,3,15,3,0,1,2,1,0,1,1,1,2,2,2,7,4,1,1,1,1,2,1,0,0,1,0,1,1,0,2,0,0,1,2,1,1,2,0,0,0
ipn,19,3,5,7,6,3,53,1,9,11,2,6,2,3,7,4,7,4,8,2,0,1,0,1,2,1,1,1,4,0,0,0,2,9,0,0,0,3,3,0,7,0,0,0
publika,3,0,1,6,2,0,1,16,5,3,0,1,2,2,4,1,2,5,6,3,2,1,2,4,0,3,0,2,5,0,1,4,0,1,0,1,1,2,2,1,5,0,0,0
palitranews,6,6,1,10,4,1,9,5,57,10,1,7,6,2,6,2,7,9,10,7,0,4,1,6,2,4,0,3,7,0,4,2,0,2,0,2,2,3,3,0,6,0,0,0
1tv,40,2,7,22,24,2,11,3,10,82,7,12,3,1,7,4,3,4,8,8,1,11,2,5,1,3,0,1,5,0,3,1,1,9,1,1,1,0,3,0,25,0,0,0
postv,18,2,2,4,7,1,2,0,1,7,19,0,0,0,1,0,1,1,2,1,0,1,0,1,0,0,0,2,0,0,1,0,1,8,0,0,0,0,1,0,5,0,0,0
tiflisnews,10,2,2,11,6,0,6,1,7,12,0,26,1,0,0,1,0,0,5,2,2,2,1,0,0,1,0,1,0,0,1,0,2,2,0,1,0,0,2,0,10,0,0,0
sova,1,0,0,4,3,1,2,2,6,3,0,1,13,0,1,1,1,2,3,2,1,1,0,2,1,1,0,0,1,0,2,0,0,0,0,1,1,0,2,0,3,0,0,0
netgazeti,1,0,0,2,1,1,3,2,2,1,0,0,0,10,2,0,4,0,7,3,0,0,0,2,2,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
mtavari,6,3,0,14,5,1,7,4,6,7,1,0,1,2,39,5,15,9,9,13,2,3,1,12,1,6,0,2,8,0,0,3,1,4,0,2,0,1,8,0,7,0,0,0
metronome-mix,3,10,1,2,5,2,4,1,2,4,0,1,1,0,5,40,6,2,8,14,2,3,1,3,0,0,1,4,1,0,3,1,1,0,4,0,2,0,1,0,6,0,0,0
tvpirveli,6,3,0,11,4,2,7,2,7,3,1,0,1,4,15,6,44,3,8,17,0,3,2,9,2,1,0,1,5,0,1,1,0,5,0,1,0,6,7,2,8,0,0,0
on,3,4,0,5,4,2,4,5,9,4,1,0,2,0,9,2,3,26,6,6,1,2,4,5,1,5,0,2,9,0,2,1,0,2,0,2,3,2,2,0,5,0,0,0
bm,11,3,0,8,7,7,8,6,10,8,2,5,3,7,9,8,8,6,70,8,3,3,3,6,2,5,0,2,4,0,1,5,1,10,0,3,0,2,5,1,7,0,0,0
alia,4,3,2,11,10,4,2,3,7,8,1,2,2,3,13,14,17,6,8,44,2,5,0,9,3,4,0,4,5,0,2,4,0,4,0,3,0,2,4,2,12,0,0,0
primetime,6,0,0,2,5,1,0,2,0,1,0,2,1,0,2,2,0,1,3,2,10,2,0,1,1,2,0,0,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0
gttv,12,2,3,5,7,1,1,1,4,11,1,2,1,0,3,3,3,2,3,5,2,16,0,2,0,0,0,1,0,0,2,1,0,5,0,1,0,2,3,2,9,0,0,0
euronewsgeorgia,1,1,1,1,0,1,0,2,1,2,0,1,0,0,1,1,2,4,3,0,0,0,12,4,0,1,0,0,1,0,0,0,0,2,0,1,1,1,0,0,2,0,0,0
formula,5,2,1,10,7,1,1,4,6,5,1,0,2,2,12,3,9,5,6,9,1,2,4,25,1,7,0,2,6,0,1,2,0,2,0,3,1,0,4,0,5,0,0,0
ambebi,1,0,0,1,2,2,2,0,2,1,0,0,1,2,1,0,2,1,2,3,1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metronome,3,0,0,5,3,1,1,3,4,3,0,1,1,0,6,0,1,5,5,4,2,0,1,7,0,15,0,0,3,0,1,3,0,0,0,2,0,0,3,0,3,0,0,0
jamnews,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
kvirispalitra,1,3,2,2,2,0,1,2,3,1,2,1,0,1,2,4,1,2,2,4,0,1,0,2,0,0,0,10,1,0,0,0,2,2,0,0,0,0,1,0,2,0,0,0
radiotavisupleba,3,2,0,6,1,1,4,5,7,5,0,0,1,3,8,1,5,9,4,5,1,0,1,6,1,3,0,1,24,0,2,3,0,1,0,2,1,2,3,0,3,0,0,0
