,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,135,2,12,17,49,0,21,2,16,43,18,13,3,0,5,3,2,3,6,9,2,4,2,2,2,2,0,7,0,7,3,0,1,17,0,2,0,1,5,0,21,0,0,0
palitravideo,2,41,0,4,6,0,4,2,7,5,1,4,0,0,3,9,5,2,0,6,1,2,0,1,5,1,0,0,1,1,0,0,0,1,5,0,2,0,8,0,3,0,0,0
mpn,12,0,13,1,5,0,2,1,2,2,5,0,0,0,1,0,0,1,2,1,0,1,0,0,1,0,0,1,0,1,2,0,1,2,0,0,0,0,0,0,4,0,0,0
ghn,17,4,1,50,12,0,17,4,14,18,2,7,1,2,13,8,14,3,10,8,2,3,5,9,5,6,1,4,5,17,0,1,2,6,0,1,5,9,7,2,11,0,0,0
rustavi2,49,6,5,12,83,1,16,1,3,23,15,11,1,2,2,7,5,5,9,3,5,6,0,1,1,2,0,1,0,6,1,0,1,21,0,1,1,4,7,1,26,0,0,0
bpn,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,2,0,0,0
ipn,21,4,2,17,16,0,67,3,14,11,2,6,0,1,6,2,15,4,7,8,1,1,3,4,1,2,0,3,0,10,0,0,1,7,0,1,0,6,8,0,11,0,0,0
publika,2,2,1,4,1,0,3,12,5,3,0,0,2,1,5,2,4,1,1,1,0,1,1,4,1,3,2,1,3,10,1,0,1,0,0,1,0,3,2,0,4,0,0,0
palitranews,16,7,2,14,3,0,14,5,59,12,1,2,1,1,10,2,6,3,1,6,1,3,9,6,4,6,4,6,4,12,0,0,1,0,0,3,3,2,4,0,11,0,0,0
1tv,43,5,2,18,23,0,11,3,12,91,4,17,4,1,8,4,3,2,1,4,1,1,4,3,6,3,1,4,4,11,5,0,1,3,0,2,1,3,5,0,12,0,0,0
postv,18,1,5,2,15,0,2,0,1,4,16,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,6,0,0,0
tiflisnews,13,4,0,7,11,0,6,0,2,17,1,30,0,0,2,3,1,1,0,4,2,1,0,1,1,4,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
sova,3,0,0,1,1,0,0,2,1,4,0,0,33,1,4,1,3,3,3,2,0,0,1,3,0,0,2,1,1,6,1,1,0,0,0,0,0,5,2,0,6,0,0,0
netgazeti,0,0,0,2,2,1,1,1,1,1,0,0,1,8,1,0,2,2,3,2,0,1,1,1,0,0,1,0,2,3,0,0,0,2,0,0,0,5,1,2,2,0,0,0
mtavari,5,3,1,13,2,0,6,5,10,8,0,2,4,1,40,11,18,2,2,9,0,2,5,7,2,5,1,3,14,16,1,1,1,0,0,1,1,8,9,0,12,0,0,0
metronome-mix,3,9,0,8,7,0,2,2,2,4,0,3,1,0,11,31,8,1,6,5,1,2,3,3,1,0,0,1,4,5,2,1,0,0,2,0,1,3,6,0,4,0,0,0
tvpirveli,2,5,0,14,5,0,15,4,6,3,0,1,3,2,18,8,46,5,9,14,1,2,5,6,1,2,0,1,9,17,1,0,1,4,0,0,1,14,7,1,11,0,0,0
on,3,2,1,3,5,0,4,1,3,2,0,1,3,2,2,1,5,12,0,4,1,0,0,4,0,0,1,0,0,7,0,1,0,1,0,0,0,4,2,0,4,0,0,0
bm,6,0,2,10,9,8,7,1,1,1,0,0,3,3,2,6,9,0,54,7,1,6,1,0,1,0,0,2,3,8,0,1,1,11,0,0,0,13,5,5,10,0,0,0
alia,9,6,1,8,3,2,8,1,6,4,0,4,2,2,9,5,14,4,7,41,1,7,2,3,1,1,1,3,3,5,0,1,3,3,1,0,2,6,8,3,7,0,0,0
primetime,2,1,0,2,5,0,1,0,1,1,1,2,0,0,0,1,1,1,1,1,6,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0
gttv,4,2,1,3,6,2,1,1,3,1,1,1,0,1,2,2,2,0,6,7,0,14,0,0,1,1,0,2,0,1,1,0,1,3,0,0,0,3,4,3,5,0,0,0
euronewsgeorgia,2,0,0,5,0,0,3,1,9,4,0,0,1,1,5,3,5,0,1,2,0,0,14,3,0,1,1,2,2,5,0,0,0,0,0,1,0,2,2,0,5,0,0,0
formula,2,1,0,9,1,0,4,4,6,3,0,1,3,1,7,3,6,4,0,3,1,0,3,15,0,2,4,3,3,8,1,1,0,0,0,1,0,3,4,0,5,0,0,0
ambebi,2,5,1,5,1,0,1,1,4,6,0,1,0,0,2,1,1,0,1,1,0,1,0,0,9,1,0,1,1,2,0,0,1,0,0,0,2,1,1,0,3,0,0,0
metronome,2,1,0,6,2,0,2,3,6,3,0,4,0,0,5,0,2,0,0,1,0,1,1,2,1,13,1,0,3,5,0,0,0,0,0,1,1,3,2,0,2,0,0,0
jamnews,0,0,0,1,0,0,0,2,4,1,0,0,2,1,1,0,0,1,0,1,0,0,1,4,0,1,5,0,1,3,0,0,0,0,0,1,0,2,0,0,2,0,0,0
kvirispalitra,7,0,1,4,1,0,3,1,6,4,0,1,1,0,3,1,1,0,2,3,0,2,2,3,1,0,0,13,0,3,0,0,1,0,0,0,0,0,1,0,3,0,0,0
radiotavisupleba,0,1,0,5,0,0,0,3,4,4,0,1,1,2,14,4,9,0,3,3,0,0,2,3,1,3,1,0,20,7,1,0,0,0,0,1,1,9,4,0,4,0,0,0
tabula,7,1,1,17,6,0,10,10,12,11,0,0,6,3,16,5,17,7,8,5,1,1,5,8,2,5,3,3,7,52,4,2,2,2,0,1,1,14,5,0,16,0,0,0
sputnik,3,0,2,0,1,0,0,1,0,5,1,0,1,0,1,2,1,0,0,0,0,1,0,1,0,0,0,0,1,4,10,0,0,0,0,0,0,1,1,0,1,0,0,0
batumelebi,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,1,0,0,0
paraleli,1,0,1,2,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,3,0,1,0,0,1,0,0,1,0,2,0,0,6,0,0,0,0,0,1,0,2,0,0,0
newspress,17,1,2,6,21,2,7,0,0,3,7,0,0,2,0,0,4,1,11,3,2,3,0,0,0,0,0,0,0,2,0,0,0,27,0,0,0,7,6,5,17,0,0,0
newsline,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0
civil,2,0,0,1,1,0,1,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0
allnews,0,2,0,5,1,0,0,0,3,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,2,1,0,0,1,1,0,0,0,0,1,0,8,1,1,0,2,0,0,0
accentnews,1,0,0,9,4,2,6,3,2,3,0,1,5,5,8,3,14,4,13,6,1,3,2,3,1,3,2,0,9,14,1,1,0,7,0,0,1,31,8,3,11,0,0,0
timer,5,8,0,7,7,2,8,2,4,5,1,1,2,1,9,6,7,2,5,8,1,4,2,4,1,2,0,1,4,5,1,1,1,6,1,0,1,8,28,3,13,0,0,0
itv,0,0,0,2,1,2,0,0,0,0,0,0,0,2,0,0,1,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,5,3,0,0,0
frontnews2,21,3,4,11,26,2,11,4,11,12,6,1,6,2,12,4,11,4,10,7,1,5,5,5,3,2,2,3,4,16,1,1,2,17,0,2,2,11,13,3,51,0,0,0
reportiori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amerikiskhma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agenda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
