,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,72,3,17,7,30,0,7,2,3,33,7,9,1,2,2,2,3,4,5,5,1,2,2,2,2,1,0,2,3,2,1,0,0,10,1,0,0,2,2,0,17,38,1,1
palitravideo,3,8,2,2,3,2,1,1,3,1,1,1,0,0,0,2,1,1,3,0,0,0,2,0,2,1,1,2,0,0,0,0,1,2,0,0,1,2,0,0,3,3,0,0
mpn,17,2,15,3,10,0,1,0,0,7,4,4,0,0,0,1,1,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,9,15,0,0
ghn,7,2,3,29,9,0,4,5,4,9,0,4,1,3,12,2,13,4,10,6,3,0,4,9,2,8,0,1,8,11,0,2,0,2,1,0,0,14,4,0,10,5,0,0
rustavi2,30,3,10,9,34,1,2,1,2,16,2,11,0,0,4,0,5,4,7,3,3,0,3,4,1,2,0,0,3,4,1,0,0,4,0,0,0,5,1,0,14,18,0,0
bpn,0,2,0,0,1,4,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ipn,7,1,1,4,2,0,26,2,0,10,0,0,0,0,6,0,7,2,4,0,0,1,1,3,1,2,0,1,0,6,0,0,1,1,0,0,1,4,6,0,5,4,0,0
publika,2,1,0,5,1,0,2,10,1,0,0,0,1,4,6,0,6,3,3,2,0,0,1,5,1,4,0,1,4,1,0,2,0,1,0,1,0,3,2,0,4,1,0,0
palitranews,3,3,0,4,2,4,0,1,24,2,0,2,2,3,7,1,3,3,4,2,2,0,4,4,3,1,2,5,3,0,0,0,0,0,0,0,0,5,1,0,4,0,0,0
1tv,33,1,7,9,16,0,10,0,2,55,0,14,0,1,3,2,3,3,8,3,1,2,4,1,1,1,0,2,5,6,1,0,2,2,1,0,0,3,7,0,14,13,1,1
postv,7,1,4,0,2,0,0,0,0,0,8,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,4,6,0,0
