,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,113,0,25,18,44,0,18,1,4,31,18,17,8,1,5,2,6,3,8,2,2,12,2,1,0,6,0,0,5,2,3,0,1,28,1,1,0,4,0,0,18,69,1,0
palitravideo,0,27,0,1,3,3,4,2,3,0,0,3,1,0,4,15,4,2,0,6,0,3,0,0,2,2,0,2,1,1,2,2,0,1,6,0,2,1,5,0,2,0,0,0
mpn,25,0,26,2,10,0,3,0,1,10,4,2,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,9,17,0,0
ghn,18,1,2,53,10,0,9,4,6,18,1,9,2,1,10,5,15,7,9,7,0,0,1,5,1,3,1,3,2,8,0,1,1,9,0,0,0,2,3,0,10,15,0,0
rustavi2,44,3,10,10,75,0,15,2,7,23,6,17,3,1,2,4,5,3,9,0,1,7,2,0,2,3,0,2,4,2,0,0,1,24,1,2,0,1,6,0,15,29,1,0
bpn,0,3,0,0,0,13,2,0,2,1,0,0,0,2,0,2,3,1,4,1,0,2,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0
ipn,18,4,3,9,15,2,64,2,8,13,1,10,3,1,11,2,19,4,6,7,0,2,2,3,1,5,0,4,1,3,1,0,0,5,2,0,1,3,8,0,13,15,0,0
publika,1,2,0,4,2,0,2,16,2,2,1,5,1,1,3,4,5,5,1,2,0,3,1,1,1,1,0,0,5,6,0,1,0,2,1,1,0,5,1,0,2,3,0,0
palitranews,4,3,1,6,7,2,8,2,46,3,0,1,1,2,4,1,5,1,1,1,0,1,3,0,5,1,0,2,7,1,4,0,0,0,0,1,0,3,0,0,4,1,0,0
1tv,31,0,10,18,23,1,13,2,3,71,7,18,4,2,5,1,2,3,6,3,0,5,2,2,1,3,0,2,2,2,1,0,0,17,0,0,0,1,2,0,20,25,1,0
postv,18,0,4,1,6,0,1,1,0,7,19,2,1,1,1,1,1,1,1,1,0,2,1,1,0,0,0,0,1,1,2,0,0,11,0,0,0,1,0,0,4,11,0,0
tiflisnews,17,3,2,9,17,0,10,5,1,18,2,43,1,1,0,1,5,1,2,0,0,3,1,0,2,3,0,1,1,2,0,0,0,7,0,0,0,2,4,0,6,14,0,0
sova,8,1,0,2,3,0,3,1,1,4,1,1,50,0,6,0,5,0,3,3,0,0,2,3,1,1,1,1,7,4,2,0,0,1,0,0,0,5,3,0,1,4,3,0
netgazeti,1,0,0,1,1,2,1,1,2,2,1,1,0,13,3,1,9,2,3,2,0,2,0,2,1,2,0,1,3,3,0,0,0,3,0,0,0,2,3,1,3,1,0,0
mtavari,5,4,1,10,2,0,11,3,4,5,1,0,6,3,39,7,23,8,3,14,0,4,0,11,1,5,1,3,5,6,1,2,0,2,1,0,0,9,5,0,3,1,0,0
metronome-mix,2,15,0,5,4,2,2,4,1,1,1,1,0,1,7,39,11,4,5,10,1,6,1,0,1,1,0,2,1,3,1,1,0,2,5,0,1,2,3,0,2,0,0,0
tvpirveli,6,4,0,15,5,3,19,5,5,2,1,5,5,9,23,11,76,8,7,20,0,8,2,13,2,6,1,5,2,10,1,3,0,6,1,0,0,8,11,2,11,4,1,0
on,3,2,1,7,3,1,4,5,1,3,1,1,0,2,8,4,8,27,4,2,0,1,3,1,0,4,0,2,3,7,0,2,1,2,1,1,0,4,1,0,5,4,2,0
bm,8,0,0,9,9,4,6,1,1,6,1,2,3,3,3,5,7,4,63,5,0,2,1,3,1,1,0,0,3,5,5,2,0,15,0,0,0,4,5,1,6,4,1,0
alia,2,6,0,7,0,1,7,2,1,3,1,0,3,2,14,10,20,2,5,41,0,2,0,6,0,1,1,2,2,3,2,0,0,3,1,0,0,4,9,2,10,1,0,0
primetime,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
gttv,12,3,1,0,7,2,2,3,1,5,2,3,0,2,4,6,8,1,2,2,1,26,4,1,2,0,0,2,2,2,2,0,0,5,2,0,0,3,4,2,4,10,0,0
euronewsgeorgia,2,0,0,1,2,0,2,1,3,2,1,1,2,0,0,1,2,3,1,0,0,4,11,1,1,1,0,0,2,1,1,1,0,1,0,0,1,1,0,0,0,2,1,0
formula,1,0,0,5,0,0,3,1,0,2,1,0,3,2,11,0,13,1,3,6,0,1,1,15,0,3,1,1,1,3,0,1,0,1,0,0,0,2,3,0,2,0,0,0
ambebi,0,2,0,1,2,1,1,1,5,1,0,2,1,1,1,1,2,0,1,0,0,2,1,0,8,1,0,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
metronome,6,2,1,3,3,1,5,1,1,3,0,3,1,2,5,1,6,4,1,1,0,0,1,3,1,15,0,0,1,2,0,2,0,0,0,0,0,0,2,0,2,4,0,0
jamnews,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kvirispalitra,0,2,0,3,2,1,4,0,2,2,0,1,1,1,3,2,5,2,0,2,0,2,0,1,1,0,0,10,1,1,0,0,0,2,0,0,0,0,2,1,1,0,0,0
