,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,82,4,5,16,15,1,2,0,5,11,4,3,0,1,4,5,6,5,5,8,3,6,1,4,3,1,0,5,5,16,5,2,0,6,0,0,1,1,0,0,6,0,0,0
palitravideo,4,14,2,3,4,0,1,0,1,2,0,0,0,0,1,11,5,2,2,2,1,0,0,2,3,0,0,2,1,4,0,0,0,2,0,0,1,1,0,0,2,0,0,0
mpn,5,2,6,2,2,0,0,0,0,1,1,2,0,0,0,2,1,2,1,4,0,1,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0
ghn,16,3,2,36,8,0,4,3,10,7,0,4,0,2,10,5,13,7,6,7,0,1,1,9,2,5,1,3,4,22,1,1,2,1,1,0,2,6,3,0,5,0,0,0
rustavi2,15,4,2,8,29,0,4,0,3,7,1,5,0,0,3,3,2,4,3,3,1,3,1,2,2,1,0,2,2,8,0,0,0,4,0,0,0,1,0,0,6,0,0,0
bpn,1,0,0,0,0,6,0,0,1,0,1,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0
ipn,2,1,0,4,4,0,10,0,1,2,0,3,0,0,1,0,3,0,0,1,0,1,0,2,1,0,0,0,4,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0
publika,0,0,0,3,0,0,0,6,3,1,0,0,1,4,1,0,3,1,0,1,0,0,0,2,0,1,0,1,1,4,1,0,0,0,1,0,0,3,1,0,1,0,0,0
palitranews,5,1,0,10,3,1,1,3,46,4,1,1,1,2,5,3,11,3,5,4,0,0,3,4,1,3,0,4,3,6,2,1,2,0,1,1,2,4,2,0,2,0,0,0
1tv,11,2,1,7,7,0,2,1,4,32,0,0,0,1,1,3,3,3,5,3,0,2,2,2,1,0,0,3,5,5,0,1,0,2,0,0,0,1,0,0,2,0,0,0
postv,4,0,1,0,1,1,0,0,1,0,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0
tiflisnews,3,0,2,4,5,0,3,0,1,0,0,13,0,0,0,2,0,1,0,0,1,3,0,1,1,1,0,1,1,2,0,1,0,1,0,0,1,0,1,0,1,0,0,0
sova,0,0,0,0,0,0,0,1,1,0,0,0,8,1,1,0,2,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0
netgazeti,1,0,0,2,0,0,0,4,2,1,0,0,1,7,0,2,2,1,2,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,1,0,0,3,1,0,1,0,0,0
