,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,107,2,9,10,42,0,13,0,11,44,29,16,3,0,2,2,6,0,7,3,11,1,0,2,0,0,0,0,5,5,2,1,0,30,1,0,0,0,4,0,20,0,0,0
palitravideo,2,17,0,3,2,0,1,1,2,1,1,1,0,0,4,9,4,0,1,3,2,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,1,0,2,0,2,0,0,0
mpn,9,0,9,1,5,0,0,0,1,3,4,2,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,3,0,1,0,6,0,0,0,0,0,0,2,0,0,0
ghn,10,3,1,32,5,1,5,1,7,15,5,2,3,2,10,2,10,0,5,5,5,1,0,5,0,0,0,5,4,7,0,0,1,8,0,0,0,0,8,0,6,0,0,0
rustavi2,42,2,5,5,49,0,6,0,5,18,13,4,1,0,1,0,2,0,4,2,4,1,0,1,0,0,0,0,2,2,1,1,1,14,1,0,0,0,2,0,10,0,0,0
bpn,0,0,0,1,0,5,2,0,5,1,0,0,3,2,1,1,1,0,2,0,0,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipn,13,1,0,5,6,2,29,1,8,13,12,4,4,1,2,0,3,0,4,3,4,0,0,4,1,0,0,1,5,5,1,0,0,8,2,0,0,0,4,0,13,0,0,0
publika,0,1,0,1,0,0,1,8,0,0,0,0,0,1,2,2,7,0,1,3,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
palitranews,11,2,1,7,5,5,8,0,47,13,4,3,9,4,6,1,6,0,4,3,1,0,0,4,3,0,0,1,5,12,0,0,1,5,0,0,1,2,10,0,9,0,0,0
1tv,44,1,3,15,18,1,13,0,13,80,13,13,5,1,5,3,5,0,4,2,6,1,0,7,1,0,0,0,5,5,1,0,0,12,0,0,0,1,8,0,18,0,0,0
postv,29,1,4,5,13,0,12,0,4,13,28,8,1,0,1,0,1,0,4,1,6,0,0,1,0,0,0,0,2,1,2,0,0,20,0,0,0,0,2,0,16,0,0,0
tiflisnews,16,1,2,2,4,0,4,0,3,13,8,22,0,0,1,2,1,0,1,2,4,0,0,2,0,0,0,0,0,2,1,0,1,6,0,0,0,1,4,0,7,0,0,0
sova,3,0,0,3,1,3,4,0,9,5,1,0,19,5,8,1,4,0,5,2,1,0,0,2,2,0,0,2,5,5,0,0,0,1,0,0,0,0,4,0,1,0,0,0
netgazeti,0,0,0,2,0,2,1,1,4,1,0,0,5,6,4,0,2,0,3,1,0,0,0,1,1,0,0,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
mtavari,2,4,1,10,1,1,2,2,6,5,1,1,8,4,24,1,11,0,6,6,3,1,0,5,1,0,0,4,3,7,0,0,0,1,0,0,1,1,7,0,2,0,0,0
metronome-mix,2,9,0,2,0,1,0,2,1,3,0,2,1,0,1,21,1,0,2,4,5,0,0,1,0,0,0,2,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
tvpirveli,6,4,1,10,2,1,3,7,6,5,1,1,4,2,11,1,44,2,5,8,2,1,0,8,0,0,0,1,8,10,0,1,0,3,0,0,1,1,9,0,2,0,0,0
on,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bm,7,1,0,5,4,2,4,1,4,4,4,1,5,3,6,2,5,0,23,1,2,0,0,3,1,0,0,0,4,3,1,0,0,1,0,0,0,0,0,0,3,0,0,0
alia,3,3,1,5,2,0,3,3,3,2,1,2,2,1,6,4,8,0,1,24,5,0,0,4,0,0,0,1,2,5,0,1,1,2,1,0,1,1,7,0,1,0,0,0
primetime,11,2,0,5,4,0,4,0,1,6,6,4,1,0,3,5,2,0,2,5,20,1,0,1,0,0,0,2,2,0,2,0,0,4,0,0,1,0,1,0,3,0,0,0
gttv,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
euronewsgeorgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
formula,2,0,1,5,1,1,4,1,4,7,1,2,2,1,5,1,8,1,3,4,1,1,0,16,1,0,0,0,4,12,0,0,1,2,1,0,0,1,3,0,6,0,0,0
ambebi,0,0,0,0,0,1,1,0,3,1,0,0,2,1,1,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metronome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jamnews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kvirispalitra,0,4,0,5,0,0,1,0,1,0,0,0,2,1,4,2,1,0,0,1,2,0,0,0,0,0,0,7,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0
radiotavisupleba,5,0,0,4,2,2,5,2,5,5,2,0,5,3,3,1,8,1,4,2,2,0,0,4,1,0,0,1,14,5,0,0,0,3,0,0,0,0,1,0,5,0,0,0
tabula,5,0,3,7,2,3,5,1,12,5,1,2,5,3,7,1,10,1,3,5,0,1,1,12,1,0,0,1,5,26,0,0,1,1,1,0,0,1,5,0,7,0,0,0
