,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,110,2,14,12,41,2,11,2,7,20,18,13,5,1,6,7,8,0,9,9,4,11,0,1,0,2,0,0,2,2,0,1,0,22,1,1,1,0,2,0,10,51,0,2
palitravideo,2,20,0,3,3,1,5,0,4,1,0,5,1,1,1,13,2,1,0,4,2,1,0,1,1,1,0,0,1,0,2,0,2,2,0,0,0,1,1,0,4,0,0,1
mpn,14,0,17,0,1,0,0,0,1,1,11,3,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,12,0,0
ghn,12,3,0,51,15,2,12,9,3,10,0,4,3,9,17,10,18,7,10,14,3,7,0,10,5,6,2,0,8,4,0,0,0,5,1,1,0,13,4,1,13,10,1,1
rustavi2,41,3,1,15,68,3,14,5,8,11,4,11,3,2,8,7,10,2,9,8,5,11,0,3,4,1,0,0,3,4,3,2,0,5,0,2,1,4,2,3,12,16,0,0
bpn,2,1,0,2,3,13,1,1,2,2,0,0,1,2,0,3,2,1,6,2,0,2,0,2,1,1,1,1,0,1,1,1,0,1,0,0,1,2,1,3,2,1,0,0
ipn,11,5,0,12,14,1,48,2,15,9,1,5,3,1,12,1,15,6,8,11,1,3,0,4,7,4,1,2,3,4,1,0,2,1,0,0,0,6,4,0,6,4,0,0
publika,2,0,0,9,5,1,2,21,1,1,1,1,2,9,12,7,11,2,4,8,1,1,1,8,0,5,1,0,8,5,1,2,0,0,0,2,0,12,2,0,5,2,0,0
palitranews,7,4,1,3,8,2,15,1,33,6,1,1,4,1,1,2,6,1,1,5,1,0,1,3,3,3,0,1,2,2,0,0,1,1,0,2,1,5,5,0,2,1,0,1
1tv,20,1,1,10,11,2,9,1,6,45,0,15,0,3,6,1,3,1,6,4,2,5,0,3,0,2,0,0,1,4,3,0,0,4,3,0,0,2,5,0,6,17,0,1
postv,18,0,11,0,4,0,1,1,1,0,18,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,1,16,0,0
tiflisnews,13,5,3,4,11,0,5,1,1,15,2,40,1,1,1,8,2,1,1,1,3,5,1,0,0,2,0,0,1,1,1,0,0,3,1,0,2,0,2,0,3,11,0,0
sova,5,1,0,3,3,1,3,2,4,0,1,1,21,2,2,1,2,0,3,2,2,1,0,1,1,2,2,1,1,6,2,0,0,1,0,0,1,4,1,0,1,1,0,1
netgazeti,1,1,0,9,2,2,1,9,1,3,0,1,2,17,8,2,6,2,5,5,0,2,0,7,1,3,2,1,6,5,0,2,0,3,0,2,0,8,5,4,6,0,0,1
mtavari,6,1,0,17,8,0,12,12,1,6,0,1,2,8,58,8,37,6,12,26,0,1,3,9,1,17,2,0,12,9,1,2,0,0,0,2,0,16,11,0,10,3,1,0
metronome-mix,7,13,0,10,7,3,1,7,2,1,0,8,1,2,8,48,12,2,4,14,2,6,0,2,0,2,0,0,3,0,2,0,2,2,5,0,1,5,0,0,1,3,0,0
tvpirveli,8,2,0,18,10,2,15,11,6,3,0,2,2,6,37,12,79,9,11,33,1,3,3,11,2,11,2,0,14,8,0,4,0,3,0,2,1,17,7,3,9,3,2,0
on,0,1,0,7,2,1,6,2,1,1,0,1,0,2,6,2,9,18,2,6,0,4,0,2,4,2,0,2,5,0,0,1,0,0,0,2,1,4,2,0,4,1,1,0
bm,9,0,2,10,9,6,8,4,1,6,0,1,3,5,12,4,11,2,53,9,2,2,0,2,1,2,4,3,2,4,2,1,0,5,0,0,1,8,7,4,10,1,0,0
alia,9,4,0,14,8,2,11,8,5,4,0,1,2,5,26,14,33,6,9,56,1,4,2,4,3,6,1,0,10,5,0,2,2,3,2,1,2,10,8,3,8,5,0,1
primetime,4,2,1,3,5,0,1,1,1,2,1,3,2,0,0,2,1,0,2,1,9,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,3,0,0
gttv,11,1,1,7,11,2,3,1,0,5,0,5,1,2,1,6,3,4,2,4,1,22,0,2,2,1,0,1,1,1,1,1,0,2,0,1,2,2,2,3,3,4,0,0
euronewsgeorgia,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,3,0,0,2,0,0,5,1,0,2,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
formula,1,1,0,10,3,2,4,8,3,3,0,0,1,7,9,2,11,2,2,4,0,2,1,19,0,5,0,0,8,4,0,1,0,0,0,1,0,13,5,0,9,1,0,0
ambebi,0,1,0,5,4,1,7,0,3,0,0,0,1,1,1,0,2,4,1,3,0,2,0,0,10,1,0,1,0,0,0,1,0,1,0,0,0,0,2,3,0,1,0,0
metronome,2,1,0,6,1,1,4,5,3,2,0,2,2,3,17,2,11,2,2,6,0,1,2,5,1,21,1,0,1,3,0,2,0,1,0,0,0,6,4,0,5,1,0,1
jamnews,0,0,0,2,0,1,1,1,0,0,0,0,2,2,2,0,2,0,4,1,0,0,0,0,0,1,5,1,1,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0
kvirispalitra,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,0,0,2,3,0,0,1,0,0,1,0,1,7,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
radiotavisupleba,2,1,0,8,3,0,3,8,2,1,0,1,1,6,12,3,14,5,2,10,0,1,1,8,0,1,1,1,23,2,1,0,0,1,0,2,0,12,3,0,7,2,1,0
tabula,2,0,0,4,4,1,4,5,2,4,1,1,6,5,9,0,8,0,4,5,1,1,0,4,0,3,2,1,2,23,0,1,0,0,0,0,0,5,1,0,2,2,0,0
sputnik,0,2,0,0,3,1,1,1,0,3,0,1,2,0,1,2,0,0,2,0,1,1,0,0,0,0,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0
batumelebi,1,0,0,0,2,1,0,2,0,0,0,0,0,2,2,0,4,1,1,2,1,1,0,1,1,2,0,0,0,1,0,5,0,1,0,0,0,1,1,3,0,0,0,0
paraleli,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0
newspress,22,2,10,5,5,1,1,0,1,4,13,3,1,3,0,2,3,0,5,3,1,2,0,0,1,1,0,0,1,0,1,1,0,30,0,0,1,0,2,4,7,18,0,1
