,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,87,0,15,10,32,2,9,1,4,16,6,9,2,0,4,0,3,3,8,2,3,9,1,2,0,1,0,1,4,2,3,0,2,14,0,0,0,3,0,0,13,41,1,0
palitravideo,0,21,0,6,4,1,2,3,4,2,0,3,1,2,4,5,5,3,4,13,0,0,0,5,0,1,1,2,2,3,2,0,1,0,3,0,1,2,1,0,4,1,0,0
mpn,15,0,15,2,4,0,2,0,0,2,5,2,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,10,0,0
ghn,10,6,2,59,8,3,14,10,14,11,2,7,3,4,22,2,27,15,11,6,1,8,1,9,0,4,1,3,9,12,1,0,0,3,1,1,0,14,7,0,15,5,2,1
rustavi2,32,4,4,8,66,0,9,3,13,12,2,15,3,0,4,3,4,2,7,3,1,9,1,1,1,1,0,2,2,4,2,0,2,8,2,0,2,3,2,0,12,14,1,0
bpn,2,1,0,3,0,19,1,2,3,1,0,0,0,2,4,1,4,1,15,1,0,0,1,1,1,1,1,0,1,1,0,0,0,2,0,1,0,2,0,0,1,2,0,0
ipn,9,2,2,14,9,1,32,3,11,6,0,5,1,1,8,1,7,9,2,3,0,4,0,6,1,2,1,1,5,3,0,0,1,2,0,0,1,7,3,0,9,5,3,0
publika,1,3,0,10,3,2,3,19,3,2,0,0,0,4,10,1,12,6,5,4,0,1,3,8,0,2,3,1,2,8,1,0,0,0,0,1,0,7,0,0,5,1,0,0
palitranews,4,4,0,14,13,3,11,3,67,10,0,2,5,3,14,1,11,11,6,2,0,2,4,3,3,1,2,3,6,5,2,0,0,0,0,0,4,9,1,0,8,2,5,2
1tv,16,2,2,11,12,1,6,2,10,49,2,13,2,1,5,2,3,7,4,1,1,11,1,3,0,0,1,2,3,2,2,0,0,3,0,0,1,5,4,0,5,8,1,1
postv,6,0,5,2,2,0,0,0,0,2,9,3,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,5,0,1
tiflisnews,9,3,2,7,15,0,5,0,2,13,3,36,0,0,0,9,2,1,0,0,4,4,0,0,0,0,0,1,1,0,0,0,1,2,3,0,0,1,3,0,6,5,0,1
sova,2,1,0,3,3,0,1,0,5,2,0,0,40,1,0,0,2,2,4,0,0,0,1,2,0,0,1,0,4,2,1,0,0,0,0,0,1,4,0,0,0,1,1,0
netgazeti,0,2,0,4,0,2,1,4,3,1,0,0,1,11,3,1,8,2,4,2,0,0,1,3,0,1,1,0,5,1,0,1,0,0,0,0,0,3,1,0,2,0,0,0
mtavari,4,4,0,22,4,4,8,10,14,5,0,0,0,3,57,9,33,17,9,11,0,2,3,14,5,9,3,3,13,10,1,2,0,0,2,1,0,14,3,0,7,2,1,0
metronome-mix,0,5,0,2,3,1,1,1,1,2,0,9,0,1,9,45,10,3,3,9,3,0,0,1,3,0,0,3,2,2,2,0,1,0,7,0,0,2,2,0,1,0,0,0
tvpirveli,3,5,1,27,4,4,7,12,11,3,0,2,2,8,33,10,69,14,13,11,0,2,5,17,2,7,2,4,9,13,1,2,0,0,1,0,0,12,9,0,10,2,2,0
on,3,3,0,15,2,1,9,6,11,7,1,1,2,2,17,3,14,34,5,5,0,4,3,11,1,2,3,1,7,10,0,3,0,1,0,0,0,12,1,0,6,3,2,0
bm,8,4,0,11,7,15,2,5,6,4,2,0,4,4,9,3,13,5,57,7,0,4,4,7,0,2,3,0,6,0,1,0,1,6,1,0,0,11,1,0,8,4,1,0
alia,2,13,1,6,3,1,3,4,2,1,0,0,0,2,11,9,11,5,7,37,0,0,1,10,0,3,1,1,2,8,4,1,1,1,4,0,0,4,0,0,4,1,0,0
primetime,3,0,1,1,1,0,0,0,0,1,1,4,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
gttv,9,0,3,8,9,0,4,1,2,11,1,4,0,0,2,0,2,4,4,0,0,22,1,1,0,0,0,1,0,0,0,0,0,5,0,0,0,2,1,0,7,5,1,0
euronewsgeorgia,1,0,0,1,1,1,0,3,4,1,0,0,1,1,3,0,5,3,4,1,0,1,12,4,0,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,3,2,1,0
formula,2,5,0,9,1,1,6,8,3,3,0,0,2,3,14,1,17,11,7,10,0,1,4,29,0,3,4,0,4,12,1,1,1,0,0,0,0,9,1,0,6,1,0,0
ambebi,0,0,0,0,1,1,1,0,3,0,0,0,0,0,5,3,2,1,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
metronome,1,1,0,4,1,1,2,2,1,0,0,0,0,1,9,0,7,2,2,3,0,0,0,3,0,13,2,0,4,1,0,1,1,0,0,0,0,2,2,0,2,0,0,0
jamnews,0,1,0,1,0,1,1,3,2,1,0,0,1,1,3,0,2,3,3,1,0,0,0,4,0,2,6,1,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
kvirispalitra,1,2,0,3,2,0,1,1,3,2,0,1,0,0,3,3,4,1,0,1,1,1,0,0,3,0,1,14,1,0,0,0,0,0,0,0,0,2,3,0,0,1,1,0
radiotavisupleba,4,2,0,9,2,1,5,2,6,3,0,1,4,5,13,2,9,7,6,2,0,0,1,4,0,4,1,1,34,6,1,4,0,0,0,0,0,14,4,0,6,2,2,0
tabula,2,3,0,12,4,1,3,8,5,2,0,0,2,1,10,2,13,10,0,8,0,0,1,12,0,1,0,0,6,30,5,3,0,0,0,0,0,7,1,0,5,1,0,0
sputnik,3,2,0,1,2,0,0,1,2,2,0,0,1,0,1,2,1,0,1,4,0,0,1,1,0,0,0,0,1,5,16,0,0,0,0,0,1,0,0,0,0,1,0,0
batumelebi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,0,1,0,0,0,1,0,1,0,0,4,3,0,6,0,0,0,0,0,1,1,0,1,0,0,0
paraleli,2,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,1,0,0
newspress,14,0,5,3,8,2,2,0,0,3,3,2,0,0,0,0,0,1,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,5,10,0,0
newsline,0,3,0,1,2,0,0,0,0,0,0,3,0,0,2,7,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
civil,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
allnews,0,1,0,0,2,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0
accentnews,3,2,0,14,3,2,7,7,9,5,0,1,4,3,14,2,12,12,11,4,0,2,4,9,0,2,3,2,14,7,0,1,0,1,0,0,0,33,2,0,8,2,2,0
timer,0,1,0,7,2,0,3,0,1,4,0,3,0,1,3,2,9,1,1,0,0,1,0,1,1,2,0,3,4,1,0,1,0,0,0,0,0,2,15,0,3,1,0,0
itv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontnews2,13,4,3,15,12,1,9,5,8,5,2,6,0,2,7,1,10,6,8,4,0,7,3,6,0,2,1,0,6,5,0,1,2,5,0,0,0,8,3,0,31,7,0,0
reportiori,41,1,10,5,14,2,5,1,2,8,5,5,1,0,2,0,2,3,4,1,1,5,2,1,0,0,0,1,2,1,1,0,1,10,0,0,0,2,1,0,7,53,1,0
amerikiskhma,1,0,0,2,1,0,3,0,5,1,0,0,1,0,1,0,2,2,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,1,5,0
agenda,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
