,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,91,0,22,12,49,1,7,1,9,22,8,10,4,0,0,1,4,2,6,4,9,8,0,1,1,1,0,2,2,8,7,0,2,16,0,0,0,0,2,0,22,42,0,0
palitravideo,0,12,0,4,3,0,0,0,3,3,0,1,0,1,1,3,2,2,1,4,2,0,1,2,0,1,0,3,2,2,2,1,0,0,0,0,1,0,0,0,1,0,0,0
mpn,22,0,20,3,13,0,2,0,2,11,4,4,0,0,0,0,0,1,0,3,4,5,0,0,1,0,0,0,0,0,1,0,0,8,0,0,0,0,1,0,10,17,0,0
ghn,12,4,3,37,11,0,8,4,7,9,1,4,7,2,6,3,12,6,6,5,4,2,1,4,1,2,1,1,6,17,3,1,0,3,0,0,0,3,4,0,11,4,0,0
rustavi2,49,3,13,11,64,2,11,3,5,24,2,10,2,0,0,0,4,1,4,5,5,6,0,2,3,0,0,2,2,6,7,0,1,12,0,0,0,0,3,0,13,22,0,0
bpn,1,0,0,0,2,11,1,0,0,1,2,0,0,0,0,2,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
ipn,7,0,2,8,11,1,24,2,6,2,1,4,2,0,2,0,3,1,2,5,1,4,0,1,2,0,0,1,4,3,0,0,0,2,1,0,0,0,1,0,4,4,0,0
publika,1,0,0,4,3,0,2,6,2,0,0,1,1,1,2,1,5,2,2,0,0,0,0,3,0,0,1,0,2,6,0,0,0,0,0,0,0,2,2,0,1,0,0,0
palitranews,9,3,2,7,5,0,6,2,36,3,1,1,5,1,3,1,11,6,4,5,1,1,1,2,0,2,1,2,7,8,0,0,0,1,0,2,2,4,1,0,6,2,0,0
1tv,22,3,11,9,24,1,2,0,3,45,0,9,1,2,2,1,2,2,5,4,3,7,1,1,0,1,0,1,2,2,1,0,0,9,0,0,0,1,2,0,17,19,0,0
postv,8,0,4,1,2,2,1,0,1,0,7,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,5,0,0
tiflisnews,10,1,4,4,10,0,4,1,1,9,0,22,0,1,2,0,2,0,1,2,1,1,0,1,0,0,0,0,1,4,0,0,0,3,0,0,0,0,2,0,4,6,0,0
sova,4,0,0,7,2,0,2,1,5,1,0,0,13,0,1,0,4,2,1,1,0,0,0,0,1,0,1,0,3,5,0,0,0,0,0,0,0,2,1,0,0,3,0,0
netgazeti,0,1,0,2,0,0,0,1,1,2,0,1,0,4,2,1,3,1,2,0,0,0,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
mtavari,0,1,0,6,0,0,2,2,3,2,0,2,1,2,18,5,12,4,7,3,1,0,1,3,0,2,0,1,2,3,0,2,0,0,0,0,0,1,5,0,2,1,0,0
metronome-mix,1,3,0,3,0,2,0,1,1,1,0,0,0,1,5,21,5,0,1,5,0,0,0,2,0,0,0,1,0,4,0,0,0,2,1,0,2,0,0,0,2,2,0,0
tvpirveli,4,2,0,12,4,0,3,5,11,2,0,2,4,3,12,5,32,8,10,4,1,1,1,7,0,2,1,0,4,12,1,4,0,0,0,0,0,3,5,0,3,0,0,0
on,2,2,1,6,1,1,1,2,6,2,1,0,2,1,4,0,8,13,4,2,1,1,1,1,1,1,1,0,4,5,0,2,1,1,0,0,0,4,3,0,2,1,0,0
bm,6,1,0,6,4,3,2,2,4,5,0,1,1,2,7,1,10,4,28,5,0,1,1,3,0,4,0,0,2,3,1,2,0,3,0,1,0,2,5,0,5,1,0,0
alia,4,4,3,5,5,1,5,0,5,4,1,2,1,0,3,5,4,2,5,25,5,2,0,2,1,1,0,2,2,2,1,0,0,2,2,0,2,1,2,0,3,2,0,0
primetime,9,2,4,4,5,0,1,0,1,3,2,1,0,0,1,0,1,1,0,5,12,2,0,1,1,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,3,5,0,0
gttv,8,0,5,2,6,0,4,0,1,7,1,1,0,0,0,0,1,1,1,2,2,11,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,7,0,1
euronewsgeorgia,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
formula,1,2,0,4,2,0,1,3,2,1,0,1,0,3,3,2,7,1,3,2,1,1,1,10,0,1,0,0,1,4,0,1,0,0,0,0,0,0,1,0,2,0,0,0
ambebi,1,0,1,1,3,0,2,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
metronome,1,1,0,2,0,0,0,0,2,1,0,0,0,1,2,0,2,1,4,1,0,0,1,1,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0
jamnews,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
kvirispalitra,2,3,0,1,2,0,1,0,2,1,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
radiotavisupleba,2,2,0,6,2,0,4,2,7,2,0,1,3,1,2,0,4,4,2,2,0,0,1,1,0,1,1,0,10,3,0,0,0,0,0,0,1,2,1,0,2,0,0,0
tabula,8,2,0,17,6,1,3,6,8,2,0,4,5,0,3,4,12,5,3,2,1,0,0,4,0,0,1,1,3,30,1,0,0,1,0,0,1,5,2,0,3,4,0,0
sputnik,7,2,1,3,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,2,0,0
batumelebi,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0
paraleli,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
newspress,16,0,8,3,12,1,2,0,1,9,2,3,0,0,0,2,0,1,3,2,1,2,0,0,1,0,0,0,0,1,0,0,0,18,0,0,0,0,1,0,11,15,0,0
newsline,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
civil,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
allnews,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0
accentnews,0,0,0,3,0,0,0,2,4,1,0,0,2,0,1,0,3,4,2,1,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,5,1,0,1,0,0,0
timer,2,0,1,4,3,0,1,2,1,2,0,2,1,0,5,0,5,3,5,2,0,0,0,1,0,1,1,0,1,2,0,1,0,1,0,0,0,1,10,0,3,0,0,0
itv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontnews2,22,1,10,11,13,0,4,1,6,17,3,4,0,2,2,2,3,2,5,3,3,8,1,2,1,2,0,0,2,3,0,0,0,11,0,0,1,1,3,0,33,17,0,1
reportiori,42,0,17,4,22,0,4,0,2,19,5,6,3,0,1,2,0,1,1,2,5,7,0,0,1,0,0,0,0,4,2,0,0,15,0,0,0,0,0,0,17,49,0,1
amerikiskhma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agenda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
