,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,142,2,16,17,53,3,18,2,13,39,26,23,7,1,5,4,7,2,6,8,3,7,5,2,1,4,0,3,9,4,0,0,0,34,0,2,1,8,0,0,0,0,0,0
palitravideo,2,16,3,0,3,0,0,0,1,0,1,3,0,0,1,9,2,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0
mpn,16,3,16,1,9,0,2,0,1,3,4,5,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,9,0,1,1,1,0,0,0,0,0,0
ghn,17,0,1,46,7,0,8,0,5,14,3,3,1,4,6,3,8,4,11,6,0,4,0,5,0,2,0,1,3,11,0,0,0,9,1,0,3,6,4,2,0,0,0,0
rustavi2,53,3,9,7,59,1,9,2,7,14,8,13,5,0,3,3,4,2,5,1,1,5,3,0,1,1,0,4,2,1,3,0,0,17,0,0,0,3,3,0,0,0,0,0
bpn,3,0,0,0,1,17,2,2,2,5,0,1,0,2,0,0,0,1,8,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0
ipn,18,0,2,8,9,2,31,0,8,10,3,2,2,4,3,2,7,2,3,3,0,0,0,2,0,0,2,0,2,4,0,1,0,5,0,0,1,4,3,0,0,0,0,0
publika,2,0,0,0,2,2,0,9,2,3,0,1,1,3,0,0,3,3,3,3,0,0,2,2,0,0,2,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
palitranews,13,1,1,5,7,2,8,2,41,5,0,3,3,3,5,2,7,4,3,7,0,1,5,4,0,3,2,1,4,4,0,0,0,0,0,2,3,6,1,0,0,0,0,0
1tv,39,0,3,14,14,5,10,3,5,60,10,9,4,2,3,2,4,1,5,6,0,5,1,1,0,1,0,2,5,4,0,0,0,8,0,1,1,6,1,0,0,0,0,0
postv,26,1,4,3,8,0,3,0,0,10,19,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0
tiflisnews,23,3,5,3,13,1,2,1,3,9,3,45,3,1,4,6,2,1,3,3,1,4,1,1,1,1,0,3,3,0,2,0,1,11,0,0,1,2,1,0,0,0,0,0
sova,7,0,0,1,5,0,2,1,3,4,0,3,15,1,5,0,1,2,2,2,0,0,1,2,0,1,1,1,4,2,1,1,0,1,0,0,0,3,2,0,0,0,0,0
netgazeti,1,0,1,4,0,2,4,3,3,2,0,1,1,15,2,0,3,1,3,4,0,1,1,2,0,2,5,1,1,2,1,0,0,0,0,0,1,2,2,2,0,0,0,0
mtavari,5,1,1,6,3,0,3,0,5,3,0,4,5,2,34,8,19,2,4,11,0,1,0,8,1,4,0,1,3,8,3,1,1,2,2,1,1,4,2,0,0,0,0,0
metronome-mix,4,9,1,3,3,0,2,0,2,2,0,6,0,0,8,34,10,2,2,11,2,0,0,1,2,1,0,1,1,5,0,0,0,0,2,0,1,1,0,0,0,0,0,0
tvpirveli,7,2,0,8,4,0,7,3,7,4,0,2,1,3,19,10,56,3,8,20,0,5,1,6,2,3,1,1,4,10,0,2,0,4,0,2,1,10,7,4,0,0,0,0
on,2,0,0,4,2,1,2,3,4,1,0,1,2,1,2,2,3,18,1,3,0,0,2,6,0,0,1,0,0,7,0,1,0,0,0,1,3,1,0,0,0,0,0,0
bm,6,0,0,11,5,8,3,3,3,5,1,3,2,3,4,2,8,1,48,11,1,5,0,2,0,1,0,2,1,6,2,1,1,8,1,2,0,11,6,6,0,0,0,0
alia,8,1,1,6,1,2,3,3,7,6,0,3,2,4,11,11,20,3,11,54,1,5,1,5,2,2,1,3,1,9,4,1,3,6,2,0,1,8,4,4,0,0,0,0
primetime,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gttv,7,0,1,4,5,1,0,0,1,5,0,4,0,1,1,0,5,0,5,5,0,17,0,0,0,0,0,0,1,2,0,1,0,7,0,0,1,4,4,5,0,0,0,0
euronewsgeorgia,5,0,0,0,3,0,0,2,5,1,0,1,1,1,0,0,1,2,0,1,0,0,10,1,0,1,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
formula,2,0,0,5,0,0,2,2,4,1,0,1,2,2,8,1,6,6,2,5,0,0,1,14,0,1,1,1,1,7,0,1,0,0,1,1,1,2,1,0,0,0,0,0
ambebi,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,2,2,0,0,2,0,0,0,0,5,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
metronome,4,0,0,2,1,0,0,0,3,1,0,1,1,2,4,1,3,0,1,2,0,0,1,1,0,6,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
jamnews,0,0,0,0,0,2,2,2,2,0,0,0,1,5,0,0,1,1,0,1,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
kvirispalitra,3,1,1,1,4,0,0,0,1,2,0,3,1,1,1,1,1,0,2,3,0,0,0,1,0,1,0,8,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0
radiotavisupleba,9,1,0,3,2,0,2,0,4,5,0,3,4,1,3,1,4,0,1,1,0,1,0,1,1,1,0,1,17,2,0,1,0,0,0,0,0,7,0,0,0,0,0,0
tabula,4,1,1,11,1,0,4,1,4,4,1,0,2,2,8,5,10,7,6,9,0,2,2,7,1,1,0,0,2,37,1,0,0,3,1,1,2,8,3,1,0,0,0,0
sputnik,0,1,0,0,3,0,0,1,0,0,0,2,1,1,3,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,7,0,2,1,0,0,0,0,1,0,0,0,0,0
batumelebi,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,1,1,0,1,0,1,1,0,0,0,1,0,0,6,0,1,0,1,0,1,1,1,0,0,0,0
paraleli,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
newspress,34,1,9,9,17,0,5,0,0,8,8,11,1,0,2,0,4,0,8,6,1,7,0,0,1,0,0,2,0,3,1,1,0,41,0,0,0,5,6,4,0,0,0,0
newsline,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0,0,0,1,0,0,0,2,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0
civil,2,1,1,0,0,1,0,0,2,1,1,0,0,0,1,0,2,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,9,0,2,0,0,0,0,0,0
allnews,1,0,1,3,0,0,1,0,3,1,0,1,0,1,1,1,1,3,0,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,8,1,0,0,0,0,0,0
accentnews,8,1,1,6,3,2,4,2,6,6,0,2,3,2,4,1,10,1,11,8,0,4,1,2,1,1,0,1,7,8,0,1,0,5,1,2,1,26,7,4,0,0,0,0
timer,0,0,0,4,3,1,3,0,1,1,0,1,2,2,2,0,7,0,6,4,0,4,0,1,0,0,2,0,0,3,1,1,0,6,0,0,0,7,14,4,0,0,0,0
itv,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,4,0,6,4,0,5,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,4,4,6,0,0,0,0
