,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,113,2,28,8,34,2,8,1,2,16,14,21,5,0,5,3,3,2,4,8,4,11,1,3,0,0,0,4,3,3,1,0,0,21,1,0,0,6,8,0,10,51,1,1
palitravideo,2,24,2,3,2,1,6,0,8,2,0,2,1,1,2,6,5,0,2,7,0,0,3,1,1,0,0,3,2,4,1,0,0,0,3,1,1,3,2,0,2,0,1,0
mpn,28,2,27,1,9,1,0,1,1,6,7,7,1,0,1,1,2,0,1,1,0,3,1,1,0,0,0,2,0,0,1,0,0,13,0,0,0,2,1,0,6,22,0,0
ghn,8,3,1,41,5,2,4,1,7,7,1,7,9,2,12,5,7,9,4,13,1,1,3,5,0,3,0,3,8,3,0,3,1,0,0,1,2,10,5,0,8,2,5,1
rustavi2,34,2,9,5,41,1,3,0,2,4,6,6,2,0,4,4,2,1,1,2,2,2,2,3,0,0,0,2,1,1,1,0,0,7,1,0,0,3,3,0,10,15,3,0
bpn,2,1,1,2,1,15,8,0,3,2,0,1,1,0,2,1,2,1,5,2,0,1,1,1,1,1,0,2,0,1,1,0,0,2,0,0,0,2,0,0,0,0,1,0
ipn,8,6,0,4,3,8,57,2,12,5,0,8,1,1,11,4,15,8,4,4,0,3,3,3,5,5,0,4,6,4,2,0,0,1,2,0,1,6,5,0,5,2,2,0
publika,1,0,1,1,0,0,2,12,2,0,0,2,0,2,7,4,5,6,4,3,1,1,2,4,1,2,0,0,1,1,0,2,0,1,0,1,0,3,2,0,0,1,0,0
palitranews,2,8,1,7,2,3,12,2,47,4,0,3,2,3,14,3,14,8,6,7,0,3,5,6,1,4,0,7,3,3,4,0,3,1,1,2,2,8,9,0,1,1,1,0
1tv,16,2,6,7,4,2,5,0,4,46,3,15,5,1,4,2,2,5,3,2,1,9,0,2,1,2,0,2,1,1,1,0,0,3,1,0,1,2,5,0,5,14,3,0
postv,14,0,7,1,6,0,0,0,0,3,12,4,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,8,0,0
tiflisnews,21,2,7,7,6,1,8,2,3,15,4,48,2,1,1,7,5,5,2,4,3,6,1,2,1,0,0,1,2,1,1,1,1,5,4,0,1,8,7,0,4,14,1,0
sova,5,1,1,9,2,1,1,0,2,5,1,2,37,0,4,1,3,2,3,3,0,1,0,2,0,1,0,2,2,3,1,0,0,0,0,0,0,5,0,0,0,2,3,1
netgazeti,0,1,0,2,0,0,1,2,3,1,0,1,0,8,4,2,3,4,3,1,0,0,3,1,1,2,0,0,5,2,0,1,0,0,0,0,0,4,4,0,2,0,0,0
mtavari,5,2,1,12,4,2,11,7,14,4,0,1,4,4,49,9,20,9,8,12,2,4,2,11,1,6,1,3,6,7,0,3,1,0,0,1,0,11,15,0,7,2,2,0
metronome-mix,3,6,1,5,4,1,4,4,3,2,0,7,1,2,9,37,9,6,4,3,5,3,0,3,2,0,0,0,4,2,0,2,0,1,4,0,1,5,3,0,1,1,1,0
tvpirveli,3,5,2,7,2,2,15,5,14,2,0,5,3,3,20,9,65,10,9,12,2,3,2,8,3,7,0,3,10,5,0,2,1,0,2,0,1,18,10,0,8,1,1,0
on,2,0,0,9,1,1,8,6,8,5,0,5,2,4,9,6,10,32,8,7,1,5,3,4,1,5,0,2,8,5,0,2,0,1,0,1,0,11,7,0,3,0,2,0
bm,4,2,1,4,1,5,4,4,6,3,1,2,3,3,8,4,9,8,69,5,1,2,2,4,0,2,0,2,3,5,0,0,1,0,0,0,0,4,3,0,3,2,1,0
alia,8,7,1,13,2,2,4,3,7,2,0,4,3,1,12,3,12,7,5,52,1,5,4,4,1,5,1,3,4,2,1,4,2,0,0,4,1,5,5,0,9,3,1,0
primetime,4,0,0,1,2,0,0,1,0,1,1,3,0,0,2,5,2,1,1,1,8,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gttv,11,0,3,1,2,1,3,1,3,9,0,6,1,0,4,3,3,5,2,5,2,22,0,2,0,2,0,2,1,2,0,1,0,1,0,0,0,1,3,0,1,3,1,0
euronewsgeorgia,1,3,1,3,2,1,3,2,5,0,0,1,0,3,2,0,2,3,2,4,0,0,12,1,0,3,0,2,5,0,1,2,0,1,0,1,0,4,1,0,2,2,1,0
formula,3,1,1,5,3,1,3,4,6,2,0,2,2,1,11,3,8,4,4,4,1,2,1,19,0,2,1,1,3,2,0,1,1,0,0,0,0,3,8,0,4,1,2,0
ambebi,0,1,0,0,0,1,5,1,1,1,1,1,0,1,1,2,3,1,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
metronome,0,0,0,3,0,1,5,2,4,2,0,0,1,2,6,0,7,5,2,5,0,2,3,2,0,15,0,0,4,0,0,3,0,1,0,1,0,4,2,0,3,0,1,0
