,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,54,0,5,7,13,0,1,4,1,8,1,6,2,1,5,0,6,0,3,3,6,1,0,3,1,2,0,1,3,4,2,1,0,3,0,0,0,0,4,0,0,0,0,0
palitravideo,0,7,0,1,1,0,0,1,0,0,0,1,0,0,1,0,4,0,0,2,2,0,0,1,1,1,0,2,1,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0
mpn,5,0,7,2,2,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ghn,7,1,2,31,6,1,4,5,0,6,0,3,5,2,11,0,10,0,3,5,2,2,0,7,5,4,0,1,5,7,3,0,1,0,1,0,0,0,8,0,0,0,0,0
rustavi2,13,1,2,6,27,1,3,5,2,3,1,5,3,2,6,0,5,0,4,6,6,2,0,5,2,2,0,2,4,3,2,0,0,2,1,0,0,0,3,0,0,0,0,0
bpn,0,0,0,1,1,3,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ipn,1,0,0,4,3,1,7,0,0,2,0,1,1,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0
publika,4,1,1,5,5,0,0,12,0,3,0,2,1,4,5,0,4,0,1,2,4,1,0,8,1,2,0,0,5,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0
palitranews,1,0,0,0,2,0,0,0,5,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1tv,8,0,0,6,3,1,2,3,0,30,0,5,2,2,3,0,4,0,1,0,2,3,0,3,1,1,0,1,5,3,2,0,0,0,0,0,0,0,4,0,0,0,0,0
postv,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tiflisnews,6,1,1,3,5,0,1,2,0,5,0,18,0,0,3,1,1,0,1,3,4,1,0,2,1,1,0,2,3,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
sova,2,0,1,5,3,1,1,1,1,2,0,0,10,0,2,0,4,0,2,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netgazeti,1,0,0,2,2,0,0,4,1,2,0,0,0,8,2,0,1,0,1,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mtavari,5,1,1,11,6,0,0,5,1,3,0,3,2,2,30,2,6,0,4,6,4,2,0,5,2,2,0,5,5,4,1,0,0,0,1,0,1,0,8,0,0,0,0,0
