,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,62,0,9,7,28,1,11,1,5,12,5,7,1,1,2,2,2,3,3,4,3,5,0,3,0,0,0,0,1,2,1,0,1,11,3,0,1,1,0,0,5,34,0,0
palitravideo,0,28,0,4,0,1,3,1,7,0,0,1,3,3,6,11,17,6,3,3,3,1,0,0,3,0,0,4,2,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0
mpn,9,0,11,1,4,1,0,0,0,1,3,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,5,0,0,1,0,1,0,2,8,0,0
ghn,7,4,1,45,6,0,9,3,13,9,0,1,3,5,18,7,16,6,6,6,4,4,0,7,1,1,0,2,7,15,0,2,0,3,1,0,0,2,3,0,3,3,0,0
rustavi2,28,0,4,6,44,1,5,1,7,8,0,5,1,1,2,1,4,3,3,4,6,3,0,3,0,1,0,1,2,4,0,0,1,9,2,0,1,0,0,0,4,16,0,0
bpn,1,1,1,0,1,8,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
ipn,11,3,0,9,5,0,30,0,7,5,0,3,1,1,7,4,11,7,5,2,3,2,0,4,2,0,0,2,0,3,2,1,0,1,0,0,0,2,1,0,3,6,0,0
publika,1,1,0,3,1,0,0,12,6,1,0,0,1,3,5,2,4,3,5,2,0,1,0,4,1,2,0,0,0,3,0,3,1,0,1,0,0,3,0,0,1,0,0,1
palitranews,5,7,0,13,7,0,7,6,59,6,0,1,11,3,10,3,17,8,6,5,1,6,0,7,4,7,0,3,7,10,0,2,1,0,0,0,0,6,0,0,7,1,1,1
1tv,12,0,1,9,8,0,5,1,6,51,0,5,3,0,2,1,0,1,1,1,3,2,0,2,0,0,0,0,2,3,0,0,0,4,1,0,0,0,1,0,6,13,0,0
postv,5,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
