,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,79,2,12,12,19,1,12,2,3,19,6,14,3,3,2,0,1,5,5,3,5,5,0,5,1,2,0,2,3,6,1,0,2,17,0,0,0,3,7,0,13,49,0,0
palitravideo,2,10,1,2,0,0,0,0,3,0,0,2,1,1,1,2,1,2,1,0,2,0,0,1,2,1,0,0,1,1,0,0,0,0,4,0,1,1,1,0,3,3,0,0
mpn,12,1,13,5,7,0,3,0,2,6,1,7,2,1,1,0,1,3,3,0,2,3,0,1,1,1,0,3,2,4,0,0,1,8,0,0,0,2,4,0,6,12,0,0
ghn,12,2,5,29,10,1,3,2,4,14,0,7,4,2,8,1,4,5,7,3,2,6,0,7,5,2,0,0,3,7,0,0,0,5,0,0,0,9,9,0,10,12,0,0
rustavi2,19,0,7,10,39,3,4,4,2,15,1,13,4,1,3,2,1,1,7,5,6,5,0,7,2,1,0,2,5,5,3,1,1,8,0,0,0,4,7,0,9,18,0,0
bpn,1,0,0,1,3,11,0,0,1,3,0,0,2,0,2,0,1,1,3,1,2,0,0,2,1,1,0,1,1,0,1,0,1,1,0,0,1,1,2,0,1,1,0,0
ipn,12,0,3,3,4,0,17,0,3,5,0,5,1,0,0,1,0,1,1,0,0,2,0,2,1,1,0,4,0,1,0,0,1,1,0,0,1,0,0,0,5,7,0,0
publika,2,0,0,2,4,0,0,10,1,2,0,1,1,3,2,1,0,3,1,2,0,0,1,4,0,0,0,0,2,3,1,0,0,0,0,0,0,3,2,0,3,1,0,0
palitranews,3,3,2,4,2,1,3,1,11,2,0,3,1,1,3,1,1,2,4,2,1,1,0,3,2,1,0,0,2,3,1,0,0,1,0,0,1,2,2,0,4,3,0,0
1tv,19,0,6,14,15,3,5,2,2,74,1,17,6,1,4,0,1,6,5,2,3,7,0,5,3,1,0,3,2,5,2,0,2,9,3,0,0,7,10,0,10,19,0,0
postv,6,0,1,0,1,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0
tiflisnews,14,2,7,7,13,0,5,1,3,17,2,31,1,1,2,0,0,3,3,0,6,3,0,3,1,2,0,3,0,4,1,0,1,7,0,0,0,2,5,0,8,14,0,0
sova,3,1,2,4,4,2,1,1,1,6,0,1,36,1,3,0,1,4,3,2,1,1,0,2,3,3,0,2,3,4,0,0,0,1,0,0,0,2,5,0,1,4,0,0
netgazeti,3,1,1,2,1,0,0,3,1,1,0,1,1,5,1,0,0,3,1,1,1,0,1,3,1,1,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,1,0,0
mtavari,2,1,1,8,3,2,0,2,3,4,0,2,3,1,32,3,4,4,6,12,7,4,0,10,3,1,0,0,4,2,2,0,2,0,0,0,0,6,12,0,5,3,0,0
metronome-mix,0,2,0,1,2,0,1,1,1,0,0,0,0,0,3,17,6,0,0,5,2,1,0,4,0,0,0,1,2,2,2,0,1,0,1,0,0,1,1,0,0,0,0,0
tvpirveli,1,1,1,4,1,1,0,0,1,1,0,0,1,0,4,6,24,0,6,6,2,3,0,4,0,1,0,1,1,3,1,0,0,1,0,0,0,4,4,0,2,1,0,0
on,5,2,3,5,1,1,1,3,2,6,0,3,4,3,4,0,0,15,4,0,2,1,0,4,3,3,0,1,3,6,0,0,0,0,0,0,0,4,4,0,4,3,0,0
bm,5,1,3,7,7,3,1,1,4,5,0,3,3,1,6,0,6,4,38,3,6,5,0,3,2,3,0,1,2,6,0,0,0,3,2,0,0,7,5,0,7,4,0,0
alia,3,0,0,3,5,1,0,2,2,2,0,0,2,1,12,5,6,0,3,22,2,2,0,7,0,2,0,0,2,2,1,0,0,1,0,0,0,4,5,0,2,2,0,0
primetime,5,2,2,2,6,2,0,0,1,3,0,6,1,1,7,2,2,2,6,2,23,7,0,3,2,1,0,0,1,3,1,0,0,1,0,0,0,1,1,0,2,4,0,0
gttv,5,0,3,6,5,0,2,0,1,7,1,3,1,0,4,1,3,1,5,2,7,15,0,3,1,2,0,1,1,1,0,0,0,3,0,0,0,5,2,0,4,6,0,0
euronewsgeorgia,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
formula,5,1,1,7,7,2,2,4,3,5,0,3,2,3,10,4,4,4,3,7,3,3,1,21,2,1,0,0,2,6,1,0,0,0,0,0,0,5,8,0,6,5,0,0
ambebi,1,2,1,5,2,1,1,0,2,3,0,1,3,1,3,0,0,3,2,0,2,1,0,2,6,1,0,0,1,1,0,0,0,0,0,0,0,1,3,0,2,3,0,0
metronome,2,1,1,2,1,1,1,0,1,1,0,2,3,1,1,0,1,3,3,2,1,2,0,1,1,5,0,2,0,2,0,0,0,0,0,0,0,2,2,0,2,2,0,0
jamnews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kvirispalitra,2,0,3,0,2,1,4,0,0,3,0,3,2,0,0,1,1,1,1,0,0,1,0,0,0,2,0,8,0,0,0,1,2,1,0,0,0,0,2,0,0,1,0,0
radiotavisupleba,3,1,2,3,5,1,0,2,2,2,0,0,3,0,4,2,1,3,2,2,1,1,0,2,1,0,0,0,17,4,1,1,0,1,0,0,0,5,1,0,2,2,0,0
tabula,6,1,4,7,5,0,1,3,3,5,0,4,4,2,2,2,3,6,6,2,3,1,0,6,1,2,0,0,4,27,0,0,0,2,0,0,0,6,3,0,5,5,0,0
sputnik,1,0,0,0,3,1,0,1,1,2,0,1,0,0,2,2,1,0,0,1,1,0,0,1,0,0,0,0,1,0,6,0,1,0,0,0,0,1,0,0,0,1,0,0
batumelebi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
paraleli,2,0,1,0,1,1,1,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,6,0,0,0,0,0,0,0,0,1,0,0
newspress,17,0,8,5,8,1,1,0,1,9,5,7,1,0,0,0,1,0,3,1,1,3,0,0,0,0,0,1,1,2,0,0,0,21,0,0,0,1,4,0,8,18,0,0
newsline,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0
