,imedinews,palitravideo,mpn,ghn,rustavi2,bpn,ipn,publika,palitranews,1tv,postv,tiflisnews,sova,netgazeti,mtavari,metronome-mix,tvpirveli,on,bm,alia,primetime,gttv,euronewsgeorgia,formula,ambebi,metronome,jamnews,kvirispalitra,radiotavisupleba,tabula,sputnik,batumelebi,paraleli,newspress,newsline,civil,allnews,accentnews,timer,itv,frontnews2,reportiori,amerikiskhma,agenda
imedinews,63,2,6,5,10,0,8,0,1,11,3,6,0,1,2,1,3,0,6,8,6,4,0,0,0,0,0,3,5,0,5,0,1,7,0,0,2,0,5,0,9,36,0,0
palitravideo,2,7,0,0,1,0,1,0,0,0,0,0,0,0,1,5,2,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
mpn,6,0,8,0,1,0,0,0,0,1,3,3,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,7,0,0
ghn,5,0,0,24,4,0,1,2,1,15,0,2,6,1,9,1,8,0,1,1,2,1,0,5,2,0,0,1,2,0,4,0,0,2,1,0,0,0,7,0,5,6,0,0
rustavi2,10,1,1,4,31,1,3,0,0,6,0,2,2,0,4,0,3,0,4,3,7,2,0,2,1,0,0,2,1,0,3,1,1,0,2,0,0,0,3,0,3,12,0,0
bpn,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipn,8,1,0,1,3,0,11,0,0,2,0,0,1,0,0,0,4,0,6,3,0,0,0,1,0,1,0,2,2,0,4,0,0,0,1,0,0,0,0,0,3,5,0,0
publika,0,0,0,2,0,0,0,4,0,1,0,0,2,1,3,1,1,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
palitranews,1,0,0,1,0,0,0,0,4,3,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,3,3,0,0
1tv,11,0,1,15,6,0,2,1,3,63,0,6,9,1,5,1,5,0,3,4,4,2,0,7,2,1,0,1,2,0,1,0,0,2,0,0,0,0,7,0,7,18,0,0
postv,3,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0
tiflisnews,6,0,3,2,2,0,0,0,1,6,0,15,0,0,1,3,1,0,1,3,3,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,9,0,0
sova,0,0,0,6,2,0,1,2,0,9,0,0,25,0,4,2,3,0,3,1,0,1,0,5,2,1,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0
netgazeti,1,0,0,1,0,0,0,1,0,1,0,0,0,3,1,0,0,0,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
mtavari,2,1,0,9,4,0,0,3,1,5,0,1,4,1,19,2,5,0,1,4,0,0,0,5,1,0,0,1,3,0,1,0,0,0,0,0,0,0,6,0,3,2,0,0
metronome-mix,1,5,1,1,0,0,0,1,0,1,0,3,2,0,2,19,2,0,0,6,5,0,0,1,0,0,0,0,1,0,0,0,1,2,1,0,2,0,0,0,0,2,0,0
tvpirveli,3,2,0,8,3,0,4,1,0,5,0,1,3,0,5,2,23,0,2,2,1,0,0,2,0,2,0,0,4,0,5,0,0,0,3,0,0,0,2,0,2,3,0,0
