run1_id,run2_id,ari_score,run1_sample,run1_network_method,run1_community_method,run1_param_id,run1_n_communities,run2_sample,run2_network_method,run2_community_method,run2_param_id,run2_n_communities,same_sample,same_network_method,same_community_method,same_param_id,common_outlets,comparison_type
sample_02_tfidf_similarity_spectral_clustering_params_9,sample_08_conditional_probability_spectral_clustering_params_6,0.7516040979829133,sample_02,tfidf_similarity,spectral_clustering,params_9,3,sample_08,conditional_probability,spectral_clustering,params_6,3,False,False,True,False,49,diff_method_diff_sample
sample_01_conditional_probability_louvain_params_7,sample_13_cooccurrence_threshold_components_params_1,-0.00632897171061994,sample_01,conditional_probability,louvain,params_7,18,sample_13,cooccurrence,threshold_components,params_1,6,False,False,False,False,49,diff_method_diff_sample
sample_04_jaccard_girvan_newman_params_0,sample_12_tfidf_similarity_spectral_clustering_params_6,0.04336399474375821,sample_04,jaccard,girvan_newman,params_0,2,sample_12,tfidf_similarity,spectral_clustering,params_6,3,False,False,False,False,49,diff_method_diff_sample
sample_01_lift_fast_greedy_params_0,sample_05_jaccard_threshold_components_params_0,0.004689277340576178,sample_01,lift,fast_greedy,params_0,9,sample_05,jaccard,threshold_components,params_0,2,False,False,False,True,49,diff_method_diff_sample
sample_04_cooccurrence_walktrap_params_0,sample_09_dice_louvain_params_0,0.47936846596970345,sample_04,cooccurrence,walktrap,params_0,2,sample_09,dice,louvain,params_0,4,False,False,False,True,49,diff_method_diff_sample
sample_00_lift_spectral_clustering_params_2,sample_02_jaccard_spectral_clustering_params_7,0.3250267846514027,sample_00,lift,spectral_clustering,params_2,4,sample_02,jaccard,spectral_clustering,params_7,5,False,False,True,False,49,diff_method_diff_sample
sample_04_cooccurrence_walktrap_params_2,sample_07_tfidf_similarity_girvan_newman_params_0,0.0017034614336331425,sample_04,cooccurrence,walktrap,params_2,2,sample_07,tfidf_similarity,girvan_newman,params_0,2,False,False,False,False,49,diff_method_diff_sample
sample_03_cosine_fast_greedy_params_0,sample_12_dice_spectral_clustering_params_11,0.7101470112504942,sample_03,cosine,fast_greedy,params_0,7,sample_12,dice,spectral_clustering,params_11,7,False,False,False,False,49,diff_method_diff_sample
sample_03_jaccard_threshold_components_params_1,sample_12_dice_spectral_clustering_params_10,0.00032961504432454936,sample_03,jaccard,threshold_components,params_1,3,sample_12,dice,spectral_clustering,params_10,5,False,False,False,False,49,diff_method_diff_sample
sample_00_dice_girvan_newman_params_0,sample_19_cosine_spectral_clustering_params_7,-0.007390486428379468,sample_00,dice,girvan_newman,params_0,2,sample_19,cosine,spectral_clustering,params_7,5,False,False,False,False,49,diff_method_diff_sample
sample_02_pmi_spectral_clustering_params_0,sample_05_correlation_spectral_clustering_params_1,0.03308354232681073,sample_02,pmi,spectral_clustering,params_0,2,sample_05,correlation,spectral_clustering,params_1,3,False,False,True,False,49,diff_method_diff_sample
sample_07_tfidf_similarity_louvain_params_4,sample_08_correlation_spectral_clustering_params_9,0.5166578942238338,sample_07,tfidf_similarity,louvain,params_4,4,sample_08,correlation,spectral_clustering,params_9,3,False,False,False,False,49,diff_method_diff_sample
sample_10_tfidf_similarity_walktrap_params_2,sample_11_jaccard_walktrap_params_2,0.9121470192738682,sample_10,tfidf_similarity,walktrap,params_2,2,sample_11,jaccard,walktrap,params_2,2,False,False,True,True,49,diff_method_diff_sample
sample_12_jaccard_spectral_clustering_params_11,sample_16_conditional_probability_leiden_params_0,-0.003401360544217687,sample_12,jaccard,spectral_clustering,params_11,8,sample_16,conditional_probability,leiden,params_0,2,False,False,False,False,49,diff_method_diff_sample
sample_08_dice_spectral_clustering_params_2,sample_15_cooccurrence_spectral_clustering_params_6,0.21284943599803827,sample_08,dice,spectral_clustering,params_2,4,sample_15,cooccurrence,spectral_clustering,params_6,3,False,False,True,False,49,diff_method_diff_sample
sample_08_tfidf_similarity_spectral_clustering_params_6,sample_11_pmi_spectral_clustering_params_5,-0.10541938766856077,sample_08,tfidf_similarity,spectral_clustering,params_6,3,sample_11,pmi,spectral_clustering,params_5,8,False,False,True,False,49,diff_method_diff_sample
sample_08_cosine_spectral_clustering_params_10,sample_13_dice_threshold_components_params_3,0.05407605535527387,sample_08,cosine,spectral_clustering,params_10,5,sample_13,dice,threshold_components,params_3,14,False,False,False,False,49,diff_method_diff_sample
